ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
0,1,0,Air Valve Assembly,1001720627,,Whalley Blvd & Fraser Hwy,,,,,,,,,,,20131203,20131203,In Service,,,4793-3270-00,,,49.180896,-122.841717
0,1,0,Air Valve Assembly,1001174065,,102 & Whalley Blvd,,,,,,,,,,,20100928,20170621,In Service,1996,Surrey,4796-0310-00,Final AB,,49.187923,-122.843398
0,1,0,Air Valve Assembly,1001148563,,F/T,,,,,,Metro Vancouver,,,,,20100201,20140509,In Service,2009,Metro Vancouver,7805-0402-00,Final AB,,49.065969,-122.819112
0,1,5,Odour Control Device,1000835016,,NW Cor. 3020-152 St,,,,,,,,,,,20071018,20071018,In Service,,,,,,49.057663,-122.800924
0,1,5,Odour Control Device,1001607411,1001209266,Croydon Dr @ 3140blk,,,,,,,,,,,20130729,20100408,In Service,2009,Surrey,4705-4580-00,Final AB,Gas Only,49.059019,-122.800482
0,1,7,P Trap,1001892033,,,,,,,,,,,,,20160914,20160914,In Service,2016,Surrey,7812-0208-00,Final AB,,49.055090,-122.776021
0,1,7,P Trap,1001951721,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054981,-122.765425
0,1,7,P Trap,1001885369,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.157969,-122.751972
0,1,0,Air Valve Assembly,1000849494,,7966 170A St,,,,,,,,,,,20080429,20130128,In Service,,,,,,49.147130,-122.750510
0,1,7,P Trap,1001885366,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.157745,-122.751744
0,1,7,P Trap,1001885365,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.157215,-122.751067
0,1,0,Air Valve Assembly,1001222612,,18800 blk Golden Ears Way,,,,,,On bike path South side,,,,,20111207,20130128,In Service,2011,Surrey,4707-3120-00,Final AB,,49.180745,-122.699709
0,1,0,Air Valve Assembly,1001198189,,,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,,49.097728,-122.679913
0,1,0,Air Valve Assembly,1000838856,,,,,,,,,,,,,20071211,,In Service,,,,,,49.195486,-122.903807
0,1,0,Air Valve Assembly,1001793067,,,,,,,,,,,,,20141029,20141029,In Service,2014,Surrey,4709-5070-00,Final AB,,49.211871,-122.878310
0,1,7,P Trap,1001885380,,,,,,,,,,90,,,20160729,20160729,In Service,2000,Surrey,7891-0324-00,Final AB,,49.102507,-122.845765
0,1,0,Air Valve Assembly,1000837885,,138 & 94A,,,,,,,,,,,20071128,20140514,In Service,,,,,,49.174801,-122.839990
0,1,7,P Trap,1001944684,,,,,,,,,,,,,20170829,20170829,In Service,2017,Private,7811-0312-00,Final AB,,49.031609,-122.830645
0,1,7,P Trap,1001944692,,,,,,,,,,,,,20170829,20170829,In Service,2017,Private,7811-0312-00,Final AB,,49.031622,-122.830236
0,1,5,Odour Control Device,1000835017,,NW Cor. 3080-Croydon Dr (No 99 Hwy),,,,,,,,,,,20071018,20140509,In Service,,Metro Vancouver,,,,49.058139,-122.800091
0,1,7,P Trap,1001929228,,,,,,,,,,,,,20170501,20170501,In Service,2016,Surrey,4714-4040-00,Initial AB,,49.111188,-122.797173
0,1,0,Air Valve Assembly,1001129932,,Port Mann Landfill Blowdown,,,,,,,,,,,20090806,20150426,In Service,2005,Metro Vancouver,S-3038,Final AB,,49.213602,-122.806291
0,1,7,P Trap,1001951722,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054986,-122.764707
0,1,0,Air Valve Assembly,1001757796,,,,,,,,,,,,,20140725,20140725,In Service,1997,Surrey,4795-5010-00,Final AB,50mm,49.121408,-122.734758
0,1,0,Air Valve Assembly,1001185487,,,,,,,,,,,,,20110105,20110105,In Service,2010,Surrey,4709-4010-00,Final AB,,49.099380,-122.723878
0,1,5,Odour Control Device,1001198190,,5241 196 St GVRD,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,,49.097728,-122.679913
0,1,0,Air Valve Assembly,1001810312,,,,,,,,,,,,,20150228,20150228,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.197388,-122.896005
0,1,0,Air Valve Assembly,1001810490,,,,,,,,,,,,,20150302,20150302,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.194985,-122.893353
0,1,0,Air Valve Assembly,1001810843,,,,,,,,,,,,,20150303,20150303,In Service,2013,Surrey,SFPR Seg. 6,Final AB,In 1200 MH,49.201738,-122.888150
0,1,0,Air Valve Assembly,1001699667,,,,,,,,,,,,,20130826,20130826,In Service,2013,Surrey,4711-9020-00,Final AB,,49.208347,-122.884570
0,1,0,Air Valve Assembly,1000849489,,,,,,,,,,,,,20080429,,In Service,,,,,,49.211210,-122.861531
0,0,7,P Trap,1001885401,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.102163,-122.850838
0,1,0,Air Valve Assembly,1000838896,,,,,,,,,,,,,20071212,,In Service,,,,,,49.066782,-122.822435
0,1,7,P Trap,1001985169,,,,,,,,,,,,,20180220,20180220,In Service,2016,Metro Vancouver,SF-1136,Final AB,,49.100940,-122.820319
0,1,7,P Trap,1001885352,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Surrey,,Final AB,,49.145545,-122.816017
0,1,6,Pipe Bridge,1001174267,,,,,,,,,,,,,20100929,20100929,In Service,1984,Surrey,7882-212,Final AB,,49.159198,-122.813597
0,0,5,Odour Control Device,1001896417,,15633 Mountain View Dr,,,,,,,,,,,20170331,20180213,Proposed,,Surrey,4713-5090-00,EC,,49.055893,-122.789910
0,0,7,P Trap,1001896423,,,,,,,,,,,,,20161109,20161109,Proposed,,Surrey,7814-0258-00,EC,,49.055707,-122.788791
