Year,City Centre Pop./Acre,City Centre Jobs/Acre,104 Ave Pop./Acre,104 Ave Jobs/Acre,Fraser Hwy Pop./Acre,Fraser Hwy Jobs/Acre,King George Blvd Pop./Acre,King George Blvd  Jobs/Acre
2014,25.1,16.8,19.9,7.4,16.7,4.8,17.7,11.3
2015,26.7,18.3,20.3,7.4,16.9,4.8,18.4,11.7
