CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2016 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - OPERATIONAL BUDGETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201600 - 201612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Targeted,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Dept Savings,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,,
Water Operating,Engineering,N/A,"-92,000","-68,415,000","-1,626,000","-70,133,000",0,"51,450,006","9,552,994","-550,000",0,"60,453,000",0,"-17,873,000","27,553,000","9,680,000",0,,,,,,,,,,,,,,,,
Sewer Operating,Engineering,N/A,"-1,935,000","-45,894,000","-768,000","-48,597,000",0,"41,552,932","10,726,269","-7,231,201",0,"45,048,000",0,"-12,973,000","16,522,000","3,549,000",0,,,,,,,,,,,,,,,,
Drainage Operating,Engineering,N/A,"-33,993,000",0,"-207,000","-34,200,000",0,"5,796,423","7,379,677",0,0,"13,176,100",0,"-13,920,100","34,944,000","21,023,900",0,,,,,,,,,,,,,,,,
Surrey Public Library Operating,Library,Lib - Administration,0,"-982,000",0,"-982,000","1,041,000","213,000","3,000",0,0,"1,257,000","-153,000","-14,809,000",0,"-14,809,000","-14,687,000",,,,,,,,,,,,,,,,
Surrey Public Library Operating,Library,Lib - Public Services,0,"-166,000","-365,000","-531,000","12,327,000","2,606,000","285,000",0,0,"15,218,000",0,0,0,0,"14,687,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,"-368,277,000","-227,577,792","-63,536,482","-659,391,274","248,411,069","360,883,345","72,702,005","-78,257,072","-6,887,400","596,851,947","-4,282,000","-159,765,900","226,587,227","66,821,327",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS CHECK,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
