Number of Social Housing Units by Type,2006,2012,2015
Emergency Shelters,149,165,205
Aboriginal Housing,155,155,155
Transition and Supportive,107,653,878
Co-op and Non-Profit Housing,2701,2701,2701
Low-Income Senior's Housing,1760,1760,1760
Total,4872,5309,5699
