Median After-Tax Household Income,2006,2011
Cloverdale,62741,73376
South Surrey,60050,67866
Fleetwood,57938,64845
Newton,53514,61210
Guildford,46777,55089
Whalley,49871,49470
Surrey Average,52926,61023
