SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,RA,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
as of end of year,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,2016,2015,% change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ADULT," 393,425 "," 404,526 "," 83,168 "," 84,537 "," 33,410 "," 34,282 "," 33,114 "," 33,736 "," 75,512 "," 77,599 "," 52,009 "," 52,640 "," 19,477 "," 20,630 "," 6,172 "," 6,322 "," 53,681 "," 58,681 "," 31,681 "," 31,593 "," 5,185 "," 4,487 ", 16 , 19 ,-2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,51.0%,51.1%,57.1%,56.1%,53.9%,54.4%,43.4%,44.7%,50.6%,50.7%,52.4%,51.7%,42.6%,43.2%,45.5%,46.7%,50.3%,50.8%,47.4%,47.3%,100.0%,100.0%,94.1%,86.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL JUNIOR," 377,254 "," 387,731 "," 62,484 "," 66,070 "," 28,632 "," 28,702 "," 43,180 "," 41,798 "," 73,849 "," 75,502 "," 47,228 "," 49,084 "," 26,245 "," 27,170 "," 7,388 "," 7,220 "," 53,042 "," 56,918 "," 35,204 "," 35,263 ", 1 , 1 , 1 , 3 ,-2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,49.0%,48.9%,42.9%,43.9%,46.1%,45.6%,56.6%,55.3%,49.4%,49.3%,47.6%,48.3%,57.4%,56.8%,54.5%,53.3%,49.7%,49.2%,52.6%,52.7%,0.0%,0.0%,5.9%,13.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL MULTILINGUAL," 34,793 "," 35,910 "," 8,276 "," 8,345 ", 862 , 897 ," 3,196 "," 3,326 "," 8,298 "," 8,489 "," 4,987 "," 4,863 ", 161 , 149 , 40 , 44 ," 3,522 "," 3,919 "," 5,451 "," 5,878 ", -   , -   , -   , -   ,-3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,4.5%,4.5%,5.7%,5.5%,1.4%,1.4%,4.2%,4.4%,5.6%,5.5%,5.0%,4.8%,0.4%,0.3%,0.3%,0.3%,3.3%,3.4%,8.1%,8.8%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL HOLDINGS," 770,679 "," 792,257 "," 145,652 "," 150,607 "," 62,042 "," 62,984 "," 76,294 "," 75,534 "," 149,361 "," 153,101 "," 99,237 "," 101,724 "," 45,722 "," 47,800 "," 13,560 "," 13,542 "," 106,723 "," 115,599 "," 66,885 "," 66,856 "," 5,186 "," 4,488 ", 17 , 22 ,-2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of System Total,100.0%,100.0%,18.9%,19.0%,8.1%,7.9%,9.9%,9.5%,19.4%,19.3%,12.9%,12.8%,5.9%,6.0%,1.8%,1.7%,13.8%,14.6%,8.7%,8.4%,0.7%,0.6%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual is included in adult & junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French is not included in multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Surrey Archives is excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFGR was combined with YFGR until 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Holidings does not include ematerials or databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
