SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,OS,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
as of end of year,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,2014,2013,% change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,51.1%,51.6%,55.8%,56.3%,54.4%,53.9%,44.1%,45.8%,50.4%,50.4%,53.7%,55.6%,42.1%,40.6%,45.6%,46.9%,51.6%,52.2%,46.2%,45.8%,99.9%,99.1%,99.5%,97.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL JUNIOR," 390,492 "," 383,635 "," 66,726 "," 63,604 "," 28,894 "," 29,362 "," 42,642 "," 41,026 "," 77,193 "," 76,983 "," 47,610 "," 44,409 "," 28,417 "," 30,838 "," 7,465 "," 7,102 "," 55,322 "," 52,111 "," 36,215 "," 38,126 ", 7 , 68 , 1 , 6 ,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,48.9%,48.4%,44.2%,43.7%,45.6%,46.1%,55.9%,54.2%,49.6%,49.6%,46.3%,44.4%,57.9%,59.4%,54.4%,53.1%,48.4%,47.8%,53.8%,54.2%,0.1%,0.9%,0.5%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL MULTILINGUAL," 36,052 "," 37,236 "," 8,613 "," 8,983 ", 834 , 909 ," 3,236 "," 3,423 "," 8,005 "," 8,247 "," 5,722 "," 5,859 ", 243 , 291 , 49 , 50 ," 3,629 "," 3,147 "," 5,721 "," 6,327 ", -   , -   , -   , -   ,-3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Branch Total,4.5%,4.7%,5.7%,6.2%,1.3%,1.4%,4.2%,4.5%,5.1%,5.3%,5.6%,5.9%,0.5%,0.6%,0.4%,0.4%,3.2%,2.9%,8.5%,9.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL HOLDINGS," 799,097 "," 792,637 "," 151,023 "," 145,510 "," 63,346 "," 63,754 "," 76,287 "," 75,748 "," 155,675 "," 155,101 "," 102,777 "," 100,004 "," 49,107 "," 51,901 "," 13,717 "," 13,382 "," 114,268 "," 109,114 "," 67,328 "," 70,408 "," 5,385 "," 7,494 ", 184 , 221 ,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of System Total,100.0%,100.0%,18.9%,18.4%,7.9%,8.0%,9.5%,9.6%,19.5%,19.6%,12.9%,12.6%,6.1%,6.5%,1.7%,1.7%,14.3%,13.8%,8.4%,8.9%,0.7%,0.9%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual is included in adult & junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French is not included in multilingual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On order is excluded from counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Surrey Archives also excluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
