SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTION HOLDINGS SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYSTEM,,CC,,CV,,FL,,GL,,NE,,OP,,PK,,SE,,SH,,RA,,CS,,SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
as of end of year,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,% change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 309,074 "," 315,004 "," 64,143 ","64,971 "," 28,665 "," 29,042 "," 24,552 "," 24,912 "," 60,649 "," 62,502 "," 40,524 "," 42,221 "," 16,688 "," 16,992 "," 5,013 "," 5,057 "," 45,259 "," 45,930 "," 23,552 "," 23,182 ", 13 , 15 , 16 , 180 ,-1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 269,601 "," 266,012 "," 46,730 ","46,390 "," 19,152 "," 18,964 "," 29,440 "," 29,828 "," 53,437 "," 53,620 "," 30,800 "," 28,709 "," 19,684 "," 19,946 "," 5,166 "," 5,084 "," 40,843 "," 39,142 "," 24,346 "," 24,328 ", 1 , 1 , 2 , -   ,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued / Generic Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 20,993 "," 21,092 "," 5,615 ","5,653 ", 391 , 391 ," 2,133 "," 2,212 "," 5,548 "," 5,291 "," 2,425 "," 2,984 ", 303 , 285 , 20 , 21 ," 2,462 "," 2,370 "," 2,095 "," 1,884 ", -   , -   , 1 , 1 ,-0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 74,919 "," 83,270 "," 10,994 ","12,204 "," 5,989 "," 6,717 "," 8,167 "," 8,847 "," 14,782 "," 16,468 "," 11,523 "," 12,647 "," 4,831 "," 5,979 "," 1,236 "," 1,555 "," 10,670 "," 11,023 "," 6,727 "," 7,830 ", -   , -   , -   , -   ,-10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult," 74,459 "," 72,509 "," 14,779 ","13,673"," 5,226 "," 5,019 "," 7,051 "," 6,521 "," 11,402 "," 10,689 "," 9,691 "," 9,962 "," 3,639 "," 3,413 "," 1,289 "," 1,174 "," 10,960 "," 10,646 "," 5,946 "," 6,047 "," 4,474 "," 5,363 ", 2 , 2 ,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior," 43,211 "," 41,210 "," 8,346 ","8,132"," 3,561 "," 3,213 "," 4,191 "," 3,967 "," 7,283 "," 7,105 "," 6,761 "," 6,254 "," 2,655 "," 2,492 ", 818 , 826 ," 5,405 "," 5,157 "," 4,190 "," 4,057 ", -   , 6 , 1 , 1 ,4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
