TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered and Protected,167,Brooksdale Estate - Coach House,1620 192,Hazelmere,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3373.aspx,49.032676,-122.688661
Registered,92,Christopher Brown House,5377 Coulthard Place,Panorama Ridge,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3345.aspx,49.100744,-122.860278
Registered and Protected,151,Colebrook United Church,5441 125A Street,Panorama Ridge,20000417,No,Architectural,http://www.surrey.ca/city-services/3346.aspx,49.101446,-122.874969
Registered and Protected,168,Brooksdale Estate - Main House,1620 192,Hazelmere,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3387.aspx,49.032563,-122.686936
Registered and Protected,77,Cobblestones,2854 O’Hara Lane,Crescent Beach,19981102,No,Architectural,http://www.surrey.ca/city-services/3222.aspx,49.054417,-122.885930
Registered and Protected,50,Cecil Heppell House,5818 182 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3299.aspx,49.108106,-122.717979
Registered,111,Burkart House,13483 72 Avenue,Newton,19981102,No,Architectural,http://www.surrey.ca/city-services/3238.aspx,49.133818,-122.848831
Registered and Protected,51,Collishaw House,16520 40 Avenue,Kensington Prairie,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3261.aspx,49.074601,-122.764529
Registered,48,Bank of Montreal,5679/5681 176 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3272.aspx,49.105523,-122.735195
Registered,120,Clayton United Church,7027 184 Street,Clayton,19981102,No,Architectural,http://www.surrey.ca/city-services/3323.aspx,49.130030,-122.712836
Registered,63,Billy Hadden House,3652 Elgin Road,Elgin,19981102,No,Architectural,http://www.surrey.ca/city-services/3291.aspx,49.068446,-122.824857
Registered and Protected,12,Stewart Farmhouse,13723  Crescent Road,Crescent Beach,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3287.aspx,49.065043,-122.842005
Registered and Protected,13,Stewart Farm -Pole Barn,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3340.aspx,49.065136,-122.841211
Registered and Protected,14,Stewart Farm -Threshing Machine Shed,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3412.aspx,49.064653,-122.842320
Registered and Protected,15,Stewart Farm -Bunkhouse,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3339.aspx,49.064726,-122.842868
Registered and Protected,17,Stewart Farm -Machine Shed,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3366.aspx,49.064940,-122.842444
Registered and Protected,18,Stewart Farm -Woodshed,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3330.aspx,49.065336,-122.842056
Registered and Protected,19,Stewart Farm -Garage,13723 Crescent Road,Crescent Beach,19970603,No,Historical,http://www.surrey.ca/city-services/3307.aspx,49.065284,-122.841744
Registered and Protected,20,Red Cedar Stump,8920 Queen Mary Boulevard,Kennedy,19970603,No,"Cultural, Natural",http://www.surrey.ca/city-services/3269.aspx,49.164820,-122.862276
Registered,195,Calkins House & Store,18394 Fraser Highway,Clayton,20001204,No,Historical,http://www.surrey.ca/city-services/3343.aspx,49.128614,-122.713163
Registered,205,Church Manse,19131 88 Avenue,Port Kells,20001204,,Historical,http://www.surrey.ca/city-services/3230.aspx,49.163215,-122.692451
Registered,199,Clayton Elementary School,7541 184 Street,Clayton,20001204,No,Historical,http://www.surrey.ca/city-services/3361.aspx,49.139461,-122.712856
Registered,187,Stuart House,2711 McKenzie Avenue,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3236.aspx,49.052030,-122.882730
Registered,164,Log Houses,19518 32 Avenue,Hazelmere,20001204,No,Architectural,http://www.surrey.ca/city-services/3217.aspx,49.059771,-122.682780
Registered and Protected,62,Daniel Johnson House,13951 Crescent Road,Elgin,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3310.aspx,49.068011,-122.835815
Registered,114,House (Kennedy),13514 88A Avenue,Kennedy,19981102,No,Architectural,http://www.surrey.ca/city-services/3262.aspx,49.163971,-122.848311
Registered and Protected,96,Bose Farm - Henry Bose Farmhouse,16430 64 Avenue,Surrey Centre,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3391.aspx,49.118733,-122.766105
Registered and Protected,101,Bose Farm - Shed,16420 64 Avenue,Surrey Centre,19981102,No,Historical,http://www.surrey.ca/city-services/3247.aspx,49.118607,-122.766103
Registered,231,Green Timbers - Cape Cod (Forestry) Building,14266 96 Ave,Green Timbers,20060724,No,"Historical, Environmental",http://www.surrey.ca/city-services/3424.aspx,49.179039,-122.830216
Registered,181,Brynjolfson Residence,12876 Crescent Road,Crescent Beach,20001204,No,Architectural,http://www.surrey.ca/city-services/3251.aspx,49.053121,-122.865228
Registered and Protected,109,W. Gillis House,6165 152 Street,Sullivan,19981102,No,Architectural Historical,http://www.surrey.ca/city-services/3257.aspx,49.114791,-122.801497
Registered,82,"Camp Alexandra Daycare Dormitory ""C""",2916 McBride Avenue,Crescent Beach,19981102,No,Architectural,http://www.surrey.ca/city-services/3408.aspx,49.055167,-122.884214
Registered,219,Centennial Totem Pole,14245 56 Avenue,Panorama Ridge,20040112,No,"Cultural, Native",http://www.surrey.ca/city-services/3321.aspx,49.105135,-122.826080
Registered,155,Cloverdale Elementary School,17857 56 Avenue,Cloverdale,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3381.aspx,49.104601,-122.727921
Registered,81,"Camp Alexandra Dormitory ""A"" - ""The Stage House""",2916 McBride Avenue,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3423.aspx,49.055436,-122.884768
Registered,215,Lorne Circus,"Traffic circle at the intersection of McBride Drive, Bedford Drive and Grosvenor Road",Port Mann,20040112,No,"Historical, Educational",http://www.surrey.ca/city-services/3233.aspx,49.210000,-122.825056
Registered and Protected,22,Royal Oak Tree,"West side of Old McLellan Road, immediately north of Christ Church",Surrey Centre,19970603,No,"Cultural, Natural",http://www.surrey.ca/city-services/3254.aspx,49.109094,-122.760773
Registered and Protected,24,Robert Dougal MacKenzie House,5418 184 Street,Cloverdale,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3390.aspx,49.100826,-122.712249
Registered and Protected,25,Tynehead Community Hall,9568 168 Street,Tynehead,19970603,No,"Historical, Cultural",http://www.surrey.ca/city-services/3355.aspx,49.176424,-122.756241
Registered and Protected,26,St. Oswald’s Trees,190 Street and lots between 95A Avenue and 96 Avenue,Port Kells,19970603,No,"Cultural, Natural",http://www.surrey.ca/city-services/3280.aspx,49.176443,-122.695868
Registered,30,Whiteley House,18076 58 Avenue,Cloverdale,19981102,No,Architectural,http://www.surrey.ca/city-services/3258.aspx,49.107559,-122.721774
Registered and Protected,33,The Clova Theatre,5732 176 Street,Cloverdale,19981102,No,Architectural Cultural,http://www.surrey.ca/city-services/3289.aspx,49.106593,-122.734657
Registered and Protected,74,Willard Kitchen House,2590 O’Hara Lane,Crescent Beach,19981102,No,Architectural,http://www.surrey.ca/city-services/3331.aspx,49.049887,-122.883890
Registered,171,Robert Barton House,19103 8 Avenue,Hazelmere,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3305.aspx,49.017065,-122.693837
Registered,113,Strawberry Hill Farmers Institute,12152 75 Avenue,Strawberry Hills,19981102,No,"Historical, Cultural",http://www.surrey.ca/city-services/3407.aspx,49.139261,-122.885944
Registered,202,McCaskill House,16343 96 Avenue,Tynehead,20001204,No,Historical,http://www.surrey.ca/city-services/3266.aspx,49.177245,-122.769384
Registered,188,H.A. Eastman House,12230 Beecher Street,Crescent Beach,20001204,No,"Architectural, Historical",http://www.surrey.ca/city-services/3274.aspx,49.052456,-122.883043
Registered,86,Dunsmuir Farm - Barn,12335 Sullivan Street,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3293.aspx,49.055265,-122.880245
Registered,87,Dunsmuir Farm - Farm Building,12335 Sullivan Street,Crescent Beach,19981102,No,Historical,http://www.surrey.ca/city-services/3374.aspx,49.054427,-122.878675
Registered,84,Dunsmuir Farm - Main House,12335 Sullivan Street,Crescent Beach,19981102,No,Historical,http://www.surrey.ca/city-services/3357.aspx,49.054024,-122.879808
Registered,125,Smith Farm - Hatchery,16927 66 Avenue,Clayton,19981102,No,Historical,http://www.surrey.ca/city-services/3306.aspx,49.122671,-122.753131
Registered,139,Martin Wilkes House,12432 Old Yale Road,South Westminster,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3304.aspx,49.197050,-122.877712
Registered,76,Gilley Summer Residence,2784 O’Hara Lane,Crescent Beach,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3349.aspx,49.053268,-122.885297
Registered and Protected,99,Meadow Ridge Farm - Henry John Bose House,16390 64 Avenue,Surrey Centre,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3419.aspx,49.118644,-122.768072
Registered,233,Green Timbers - English Oaks Grove,14266 96 Ave,Green Timbers,20060724,No,"Historical, Environmental",http://www.surrey.ca/city-services/3393.aspx,49.178108,-122.833949
Registered,121,Hillside Farm - Livingston House,6821 176 Street,Clayton,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3394.aspx,49.126469,-122.735487
