TYPE,SITE_NO,SITE_NAME,ADDRESS,HERITAGE_NEIGHBOURHOOD,REGISTER_RESOLUTION_DATE,HERITAGE_REGISTER_AMENDED,HERITAGE_VALUE,WEBLINK,Latitude,Longitude
Registered,41,Hycrest Nursery Barn,4947 192 Street,Cloverdale,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3313.aspx,49.091519,-122.691392
Registered,57,House (Hazelmere),18620 16 Avenue,Hazelmere,19981102,,Architectural,http://www.surrey.ca/city-services/3283.aspx,49.030564,-122.707335
Registered,65,Anderson Farmhouse,3082 Semiahmoo Trail,Elgin,19981102,No,Architectural,http://www.surrey.ca/city-services/3290.aspx,49.058156,-122.814907
Registered and Protected,133,Arthur Hedley House,11927 96A Avenue,Royal Heights,19981102,No,Architectural,http://www.surrey.ca/city-services/3296.aspx,49.178365,-122.892188
Registered,55,David Kitzel Root House,216 184 Street,Hazelmere,19981102,No,Historical,http://www.surrey.ca/city-services/3347.aspx,49.006309,-122.713256
Registered and Protected,4,Hazelmere United Church,1614 184 Street,Hazelmere,19970603,No,"Architectural, Historical",http://www.surrey.ca/city-services/3351.aspx,49.031412,-122.713056
Registered,88,John Weaver House,13180 40 Avenue,Mud Bay,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3285.aspx,49.074596,-122.857201
Registered and Protected,6,Elgin Hall,14250 Crescent Road,Elgin,19970603,No,"Historical, Cultural",http://www.surrey.ca/city-services/3214.aspx,49.066928,-122.827440
Registered,146,Goodmanson Building,10449 King George Highway,Whalley,19981102,No,"Architectural, Historical",http://www.surrey.ca/city-services/3302.aspx,49.192601,-122.845668
Registered and Protected,176,Seventh Day Adventist Church,16017 8 Avenue,Douglas,20001204,No,"Historical, Cultural",http://www.surrey.ca/city-services/3385.aspx,49.016782,-122.778817
Registered,179,Crescent Park Annex,2378  124 Street,Ocean Park,19980126,No,"Historical, Cultural",http://www.surrey.ca/city-services/3300.aspx,49.045452,-122.877882
Registered,193,Surrey Centre Cemetery,16647 Old McLellan Road,Surrey Centre,20001204,No,"Historical, Cultural, Natural",http://www.surrey.ca/city-services/3341.aspx,49.109038,-122.761055
