NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
2,Riser Pocket,1000075023,27703,1287811541,150,Clay Tile,0.91,,,,In Service,4515,1978,Surrey,,LINE BE-F,,,,,,,,20051105,,1,0,49.211869,-122.864783
2,Riser Pocket,1000075024,27705,1281811549,63,PVC Plastic,0.78,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212022,-122.866429
2,Riser Pocket,1000075025,27706,1284911549,75,PVC Plastic,0.81,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212021,-122.865577
2,Riser Pocket,1000075026,27707,1287811549,75,PVC Plastic,1.01,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212020,-122.864768
2,Riser Pocket,1000075027,27712,1288711559,150,PVC Plastic,0.72,,,,In Service,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051105,,1,0,49.212198,-122.864516
2,Riser Pocket,1000075028,27713,1288711560,150,PVC Plastic,0.72,,,,In Service,4515,1978,Surrey,,LINE BE-G,,,,,,,,20051105,,1,0,49.212198,-122.864516
2,Riser Pocket,1000075029,27714,12887-11561,100,PVC Plastic,0.72,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212198,-122.864510
2,Riser Pocket,1000075030,27715,1288711578,100,PVC Plastic,0.45,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212538,-122.864508
2,Riser Pocket,1000074617,28111,1253311588,75,PVC Plastic,0.53,,,,In Service,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20091112,1,0,49.212740,-122.874288
2,Riser Pocket,1000845859,,1205010972,150,PVC Plastic,,,,,Abandoned,4895-0520-00,1996,Surrey,,,Final AB,,,,,,,20080229,20091118,0,0,49.201603,-122.887670
2,Riser Pocket,1000075179,28217,1275711624,75,PVC Plastic,0.38,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051129,20091118,0,0,49.213378,-122.868106
2,Riser Pocket,1000075031,27716,1288711579,150,PVC Plastic,0.45,,,,In Service,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051105,,1,0,49.212538,-122.864518
2,Riser Pocket,1000075032,27717,1283011580,63,PVC Plastic,0.39,,,,In Service,4515,1978,Surrey,,LINE BE-I,,,,,,,,20051105,,1,0,49.212584,-122.866105
2,Riser Pocket,1000074922,27359,1198510613,150,PVC Plastic,0.58,,,,In Service,4516,1978,Surrey,,,,,,,,,,20051026,,1,0,49.195086,-122.889481
2,Riser Pocket,1000075180,28218,1275911635,75,PVC Plastic,0.09,,,,Abandoned,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051129,20141030,0,0,49.213584,-122.868065
2,Riser Pocket,1000074860,27291,1178010290,100,PVC Plastic,2.05,,,,Abandoned,4516,1978,Surrey,,LINE BSW-G,,,,,,,,20051024,20091221,0,0,49.189269,-122.895145
2,Riser Pocket,1000075083,27748,1304811635,75,PVC Plastic,0.91,,,,History,4515,1978,Surrey,,LINE BE-H,,,,,,,,20051107,20141030,0,0,49.213575,-122.860077
