CITY OF SURREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN DATA 2016 YEAR TO DATE DEPARTMENT FINANCIAL INFORMATION - ACTUALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Period:  201600 - 201612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Funds: ´100´,´103´,´105´,´106´,´107´,´200´,´300´,´305´,´400´",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,REVENUES,,,,EXPENDITURES,,,,,,INTERNAL TRANSFERS,,,,,,,,,,,,,,,,,,,
,,,,Sales and,"Grants, Donations",,Salaries &,Operating,Internal Serv.,Internal Serv.,External,,Trsf from,Trsf to,,NET (SURPLUS),,,,,,,,,,,,,,,,
Fund,Department,Financial Plan Division,Taxation,Services,and Other,TOTAL,Benefits,Costs,Used,Recovered,Recoveries,TOTAL,Own Sources,Own Sources,TOTAL,EXPENDITURES,,,,,,,,,,,,,,,,
General Operating,Corporate,Corporate,"-307,078,758","-22,411,661","-34,701,181","-364,191,600","306,364","13,685,755","46,910",0,"-15,000","14,024,029","-54,532,042","104,337,288","49,805,246","-300,362,325",,,,,,,,,,,,,,,,
General Operating,Grants,MCG - City Grants,0,0,0,0,0,"1,535,338",0,0,-768,"1,534,570",0,"202,430","202,430","1,737,000",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Office of the Mayor,0,0,0,0,"644,966","118,052","7,023","-1,770",0,"768,271",0,0,0,"768,271",,,,,,,,,,,,,,,,
General Operating,Mayor & Council,MCG - Council,0,0,0,0,"572,229","97,429",0,0,"-3,369","666,289",0,0,0,"666,289",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Administration,0,-701,0,-701,"637,029","162,423","61,458","-17,485","-1,621","841,804",0,0,0,"841,103",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - By-law Services,0,"-953,729","-7,670,670","-8,624,399","5,386,759","1,675,680","730,021","-264,975","-393,483","7,134,002",0,0,0,"-1,490,397",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Public Safety,0,0,"-502,362","-502,362","888,517","217,002","30,513",0,-408,"1,135,624","-20,402","500,000","479,598","1,112,860",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legal Services,0,0,0,0,"1,961,771","188,568","4,785","-50,843","-4,383","2,099,898","-77,000",0,"-77,000","2,022,898",,,,,,,,,,,,,,,,
General Operating,City Manager,City Mgr - Legislative Services,0,"-6,173",0,"-6,173","1,915,944","1,240,041","21,998","-46,689",-100,"3,131,194",0,"175,000","175,000","3,300,021",,,,,,,,,,,,,,,,
General Operating,City Manager,IIR - Economic Development,0,0,"-52,750","-52,750","769,525","517,078","22,421","-8,317","-138,050","1,162,657",0,"85,000","85,000","1,194,907",,,,,,,,,,,,,,,,
General Operating,City Manager,IIR - Administration,0,0,0,0,"20,658","16,465","2,175",0,0,"39,298",0,0,0,"39,298",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Administration,0,0,0,0,"1,126,108","720,397","13,790","-385,329","-63,204","1,411,762","-97,900",0,"-97,900","1,313,862",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Employment,0,0,0,0,"822,616","119,912","3,754",0,0,"946,282",0,0,0,"946,282",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Labour Relations/Compensation,0,0,0,0,"819,019","83,637","5,000",0,"-1,750","905,906",0,0,0,"905,906",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Occupational Safety,0,0,0,0,"666,699","84,799","1,475",0,-879,"752,094",0,0,0,"752,094",,,,,,,,,,,,,,,,
General Operating,Human Resources,HR - Wellness & Diversity,0,0,-500,-500,"22,875","9,491",258,"-2,124",0,"30,500",0,0,0,"30,000",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Audit Procurement,0,"-26,785",0,"-26,785","1,525,484","137,340","11,045",0,"-5,324","1,668,545",0,0,0,"1,641,760",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Services,0,"-1,317,616","-93,277","-1,410,893","3,509,267","115,733","20,388","-303,439",-51,"3,341,898","-95,270","95,270",0,"1,931,005",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Financial Reporting,0,"-24,540",0,"-24,540","1,486,232","100,773","13,641",0,"-17,090","1,583,556",0,"50,000","50,000","1,609,016",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Information Technology,0,0,0,0,"9,803,703","6,607,384","142,623","-1,918,363","-186,764","14,448,583","-206,282","5,990,510","5,784,228","20,232,811",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Leadership,0,0,0,0,"1,354,816","97,428","26,215",0,"-4,106","1,474,353",0,"300,000","300,000","1,774,353",,,,,,,,,,,,,,,,
General Operating,Finance and Technology,F&T - Risk Management,0,0,0,0,"439,017","4,682,344","291,736","-769,872","-359,274","4,283,951","-2,605,599","3,849","-2,601,750","1,682,201",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Administration,0,"-180,604","-3,686","-184,290","3,037,952","626,536","13,072","-5,031",-60,"3,672,469","-107,231","3,686","-103,545","3,384,634",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Area Planning & Development,0,"-3,075,703","-321,759","-3,397,462","3,445,426","31,019","44,574",0,-79,"3,520,940",0,"1,076,633","1,076,633","1,200,111",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Building,0,"-438,037","-20,389,424","-20,827,461","7,368,551","433,037","25,436","-45,945",-18,"7,781,061","-104,088","2,742,917","2,638,829","-10,407,571",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Community Planning,0,0,0,0,"1,713,618","392,156","14,825","-24,934","-316,448","1,779,217","-115,048","29,832","-85,216","1,694,001",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Facilities,0,"-2,007",0,"-2,007","4,145,210","4,113,675","3,246,854","-3,401,342","-21,796","8,082,601","-132,565","1,373,701","1,241,136","9,321,730",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Heritage Advisory Committee,0,0,0,0,0,"40,774","40,195","-3,534",0,"77,435","-70,302","15,867","-54,435","23,000",,,,,,,,,,,,,,,,
General Operating,Planning and Development,P&D - Sustainability,0,0,0,0,"410,559","200,922","13,283","-15,600","-138,649","470,515","-139,050",0,"-139,050","331,465",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Administration,0,"-34,266",0,"-34,266","2,559,031","365,081","4,198",0,"-15,850","2,912,460",0,0,0,"2,878,194",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Emergency Planning,0,0,0,0,209,"54,630","1,672",0,"-2,000","54,511",0,0,0,"54,511",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Operations,0,-280,0,-280,"46,583,752","2,165,886","165,795","-26,198","-409,234","48,480,001",0,"1,297,000","1,297,000","49,776,721",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Mechanics,0,0,0,0,"549,878","537,181",0,"-73,043","-1,436","1,012,580",0,0,0,"1,012,580",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Prevention,0,"-494,439","-20,010","-514,449","1,164,751","249,118","5,352",0,"-137,386","1,281,835",0,0,0,"767,386",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Radio & Communications,0,"-1,432,715",0,"-1,432,715","2,667,191","1,078,227",0,0,"-32,430","3,712,988",0,0,0,"2,280,273",,,,,,,,,,,,,,,,
General Operating,Fire,Fire - Training,0,"-25,750",0,"-25,750","767,736","116,610",994,0,0,"885,340",0,0,0,"859,590",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Corporate Services,0,0,"-6,099,278","-6,099,278","4,036,749","2,343,980","205,601","-4,739","-896,925","5,684,666",0,"54,295","54,295","-360,317",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Information Services &Technology,0,"-316,747",0,"-316,747","8,450,026","3,060",0,0,"-151,236","8,301,850",0,0,0,"7,985,103",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Management & RCMP Finance,0,0,"-99,573","-99,573","1,351,792","111,155","15,993",0,0,"1,478,940","-99,408","99,573",165,"1,379,532",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Operations,0,"-1,001,261","-339,046","-1,340,307","9,752,784","1,397,854","92,729","-16,274","-185,780","11,041,313",0,0,0,"9,701,006",,,,,,,,,,,,,,,,
General Operating,RCMP,RCMP - Contract,0,0,0,0,0,"121,149,330",0,"-1,115","-499,296","120,648,919","-2,077,079","1,491,725","-585,354","120,063,565",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Administration,0,"-208,404","1,000","-207,404","2,501,400","1,285,506","281,390","-655,957","-118,259","3,294,080","-87,612","399,504","311,892","3,398,568",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Arenas,0,"-3,904,544",0,"-3,904,544","3,632,117","1,655,698","29,985","-33,403","-18,315","5,266,082","-92,851","65,000","-27,851","1,333,687",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Art Centre,0,"-1,023,829","-236,290","-1,260,119","2,758,049","1,719,612","57,785","-20,872",0,"4,514,574","-444,525","211,670","-232,855","3,021,600",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Community Recreation Services,134,"-8,695,527","-400,783","-9,096,176","12,920,436","3,928,525","306,270","-194,897","-107,607","16,852,727","-68,094","16,000","-52,094","7,704,457",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Healthy Communities,0,"-44,520","-89,788","-134,308","1,527,904","306,056","116,525","-26,308","-67,369","1,856,808",0,0,0,"1,722,500",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Heritage Services,0,"-78,338","-91,154","-169,492","1,434,038","437,891","35,006","-40,306","-2,604","1,864,025","-3,813",0,"-3,813","1,690,720",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Indoor Pools,0,"-9,981,352","-57,978","-10,039,330","14,927,957","3,784,962","395,898","-11,448","-88,899","19,008,470",0,0,0,"8,969,140",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Marketing,0,"-60,220",0,"-60,220","1,403,837","736,249","28,409","-435,845","-31,300","1,701,350",0,"53,369","53,369","1,694,499",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Outdoor Pools,0,0,0,0,0,"972,081","1,240",0,"-70,433","902,888",0,0,0,"902,888",,,,,,,,,,,,,,,,
General Operating,"Parks, Recreation and Culture",PRC - Parks Division,0,"-3,119,238","-1,968,587","-5,087,825","13,539,334","17,110,142","15,494,554","-14,487,398","-426,143","31,230,489","-5,088,482","2,909,615","-2,178,867","23,963,797",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Operations,0,"-11,030",0,"-11,030","24,602,919","5,792,880","4,353,410","-37,708,963","-147,237","-3,106,991",0,"2,563,822","2,563,822","-554,199",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Professional Services,0,"-35,960","-86,704","-122,664","7,066,276","429,584","1,349,305","-7,456,567","-1,620","1,386,978","-5,313","14,560","9,247","1,273,561",,,,,,,,,,,,,,,,
General Operating,Engineering,Eng - Land Development,0,"-5,510,083","-465,548","-5,975,631","3,041,195","1,036,000","3,203,822","-263,511","-2,202,694","4,814,812","-75,644","750,000","674,356","-486,463",,,,,,,,,,,,,,,,
