2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Fiction,10770,,3905,,3886,,9402,,5176,,3252,,680,,8263,,3117,,0,,0," 48,451 ",Fiction,
Horror,269,,99,,85,,221,,123,,55,,24,,139,,76,,0,,0," 1,091 ",Horror,
Fiction - Horror,205,,57,,40,,86,,98,,19,,27,,79,,39,,0,,0, 650 ,Fiction - Horror,
Mystery,2860,,1341,,1435,,2271,,1390,,989,,344,,2053,,965,,0,,0," 13,648 ",Mystery,
Fiction - Mystery,1894,,317,,399,,993,,740,,273,,322,,460,,328,,0,,0," 5,726 ",Fiction - Mystery,
Fiction - Paperba,2458,,446,,559,,1192,,928,,340,,208,,694,,477,,0,,0," 7,302 ",Fiction - Paperba,
Romance,1004,,430,,505,,840,,618,,291,,75,,489,,435,,0,,0," 4,687 ",Romance,
Fiction - Romance,2894,,958,,1216,,1541,,1739,,614,,262,,788,,1412,,0,,0," 11,424 ",Fiction - Romance,
Science Fiction,1469,,554,,512,,1169,,613,,246,,54,,550,,344,,0,,0," 5,511 ",Science Fiction,
Fiction - Sci Fi,1125,,335,,405,,761,,717,,224,,131,,326,,409,,0,,0," 4,433 ",Fiction - Sci Fi,
Western,76,,54,,57,,92,,78,,16,,7,,51,,18,,0,,0, 449 ,Western,
Fiction - Western,372,,135,,168,,166,,123,,41,,75,,138,,59,,0,,0," 1,277 ",Fiction - Western,
French Fiction,332,,119,,106,,249,,157,,94,,0,,186,,19,,0,,0," 1,262 ",French Fiction,
French Nonfiction,100,,28,,45,,132,,50,,15,,2,,54,,3,,0,,0, 429 ,French Nonfiction,
CD Other Language,1,,0,,0,,3,,1,,0,,0,,0,,32,,0,,0, 37 ,CD Other Language,
DVD - Generic,422,,0,,15,,130,,110,,0,,0,,22,,141,,0,,0, 840 ,DVD - Generic,
Elt Generic,2,,1,,3,,24,,24,,1,,0,,26,,15,,0,,0, 96 ,Elt Generic,
Inter Library Loa,0,,1,,0,,567,,0,,0,,0,,0,,0,,0,,0, 568 ,Inter Library Loa,
Audio Book Ill,0,,0,,0,,0,,0,,0,,0,,0,,0,,408,,0, 408 ,Audio Book Ill,
Magazine - Generi,43,,240,,186,,64,,564,,196,,0,,166,,73,,1,,0," 1,533 ",Magazine - Generi,
Other Language Ma,70,,0,,11,,41,,10,,0,,0,,0,,46,,0,,0, 178 ,Other Language Ma,
Generic Arabic,212,,0,,0,,134,,0,,0,,0,,0,,111,,0,,0, 457 ,Generic Arabic,
Generic Chinese,1798,,152,,965,,2577,,1431,,3,,0,,957,,1567,,0,,0," 9,450 ",Generic Chinese,
Generic Dutch,1,,0,,0,,49,,0,,0,,0,,34,,0,,0,,0, 84 ,Generic Dutch,
Generic Farsi,404,,0,,0,,0,,84,,0,,0,,0,,0,,0,,0, 488 ,Generic Farsi,
Generic German,186,,0,,0,,91,,34,,0,,0,,98,,0,,0,,0, 409 ,Generic German,
Generic Gujarati,104,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 104 ,Generic Gujarati,
Generic Hinda,2,,0,,8,,3,,5,,0,,0,,0,,16,,0,,0, 34 ,Generic Hinda,
Generic Japanese,215,,0,,0,,179,,121,,0,,0,,0,,0,,0,,0, 515 ,Generic Japanese,
Generic Korean,616,,0,,157,,311,,157,,28,,0,,367,,0,,0,,0," 1,636 ",Generic Korean,
Pangabi - Generic,3,,0,,28,,14,,24,,0,,0,,0,,14,,0,,0, 83 ,Pangabi - Generic,
Generic Polish,185,,0,,0,,201,,0,,0,,0,,0,,0,,0,,0, 386 ,Generic Polish,
Generic Russian,151,,0,,0,,1,,0,,0,,0,,149,,0,,0,,0, 301 ,Generic Russian,
Spanish - Generic,0,,0,,1,,5,,7,,0,,0,,9,,0,,0,,0, 22 ,Spanish - Generic,
Generic Tagalog,439,,0,,50,,294,,0,,0,,0,,0,,0,,0,,0, 783 ,Generic Tagalog,
Generic Urdu,288,,0,,83,,92,,331,,0,,0,,0,,200,,0,,0, 994 ,Generic Urdu,
Generic Vietnames,259,,0,,39,,175,,258,,0,,0,,0,,0,,0,,0, 731 ,Generic Vietnames,
Paperback - Gener,924,,182,,606,,475,,761,,109,,25,,199,,218,,0,,0," 3,499 ",Paperback - Gener,
French Paperback,0,,1,,0,,9,,6,,1,,0,,2,,2,,0,,0, 21 ,French Paperback,
Vertical File,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,Vertical File,
Homebound - Biogr,0,,0,,0,,0,,0,,0,,0,,0,,0,,265,,0, 265 ,Homebound - Biogr,
Homebound - Ficti,0,,0,,0,,0,,0,,0,,0,,0,,0,,1847,,0," 1,847 ",Homebound - Ficti,
Homebound - Myate,0,,0,,0,,0,,0,,0,,0,,0,,0,,749,,0, 749 ,Homebound - Myate,
Homebound - Roman,0,,0,,0,,0,,0,,0,,0,,0,,0,,206,,0, 206 ,Homebound - Roman,
Homebound - Scien,0,,0,,0,,0,,0,,0,,0,,0,,0,,78,,0, 78 ,Homebound - Scien,
Homebound - thril,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Homebound - thril,
Homebound - Weste,0,,0,,0,,0,,0,,0,,0,,0,,0,,74,,0, 74 ,Homebound - Weste,
Homebound - Nonfi,0,,0,,0,,0,,0,,0,,0,,0,,0,,683,,0, 683 ,Homebound - Nonfi,
Hmbnd CD Fiction,0,,0,,0,,0,,0,,0,,0,,0,,0,,955,,0, 955 ,Hmbnd CD Fiction,
Hmbnd CD Nonfic,0,,0,,0,,0,,0,,0,,0,,0,,0,,214,,0, 214 ,Hmbnd CD Nonfic,
Hmbnd DAISY - Fic,0,,0,,0,,0,,0,,0,,0,,0,,0,,572,,0, 572 ,Hmbnd DAISY - Fic,
Hmbnd DAISY - Non,0,,0,,0,,0,,0,,0,,0,,0,,0,,190,,0, 190 ,Hmbnd DAISY - Non,
Homebound - Jr. F,0,,0,,0,,0,,0,,0,,0,,0,,0,,63,,0, 63 ,Homebound - Jr. F,
Homebound - Jr. N,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Homebound - Jr. N,
Hmbnd LP Fiction,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Hmbnd LP Fiction,
Hmbnd LP Nonfic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Hmbnd LP Nonfic,
Hmbnd MP3 - Ficti,0,,0,,0,,0,,0,,0,,0,,0,,0,,916,,0, 916 ,Hmbnd MP3 - Ficti,
Hmbnd MP3 - Nonfi,0,,0,,0,,0,,0,,0,,0,,0,,0,,239,,0, 239 ,Hmbnd MP3 - Nonfi,
Hooser Weaving Co,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Hooser Weaving Co,
Jr Alphabet Book,188,,90,,138,,222,,63,,149,,39,,262,,100,,0,,0," 1,251 ",Jr Alphabet Book,
Jr Biography,300,,219,,361,,638,,215,,315,,17,,453,,253,,0,,0," 2,771 ",Jr Biography,
Junior Book Club,3,,3,,4,,2,,6,,0,,0,,6,,0,,0,,0, 24 ,Junior Book Club,
Jr Compact Disc,480,,220,,342,,444,,208,,252,,94,,378,,241,,0,,1," 2,660 ",Jr Compact Disc,
Jr CD Fiction,394,,181,,225,,501,,175,,164,,59,,350,,191,,0,,0," 2,240 ",Jr CD Fiction,
Jr. French CD,9,,4,,4,,15,,4,,2,,1,,10,,4,,0,,0, 53 ,Jr. French CD,
Jr CD Nonfiction,9,,3,,8,,16,,4,,9,,0,,8,,2,,0,,0, 59 ,Jr CD Nonfiction,
Jr CD-rom,11,,9,,41,,19,,41,,9,,49,,22,,11,,0,,0, 212 ,Jr CD-rom,
Jr Counting,219,,83,,144,,245,,90,,150,,36,,260,,126,,0,,0," 1,353 ",Jr Counting,
Jr DVD Fiction,4261,,1609,,1979,,3466,,3743,,1308,,324,,2503,,2364,,0,,0," 21,557 ",Jr DVD Fiction,
Jr DVD Fremch Fic,2,,7,,15,,29,,23,,13,,0,,20,,14,,0,,0, 123 ,Jr DVD Fremch Fic,
Jr DVD Nonfiction,836,,377,,386,,792,,646,,276,,61,,506,,336,,0,,0," 4,216 ",Jr DVD Nonfiction,
Jr DVD Other Lang,1,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0, 4 ,Jr DVD Other Lang,
Jr Engl Lang Trai,17,,10,,12,,29,,24,,2,,0,,10,,25,,0,,0, 129 ,Jr Engl Lang Trai,
Jr. Circulating E,22,,50,,72,,185,,70,,23,,1,,77,,45,,0,,0, 545 ,Jr. Circulating E,
Jr Fiction,2888,,1241,,1699,,3024,,1407,,1214,,231,,3281,,1308,,0,,0," 16,293 ",Jr Fiction,
Jr French Fiction,207,,117,,113,,248,,152,,94,,3,,177,,99,,0,,0," 1,210 ",Jr French Fiction,
Jr Folk & Fairy T,707,,232,,479,,762,,318,,413,,60,,701,,451,,0,,0," 4,123 ",Jr Folk & Fairy T,
Jr. Fiction - Pap,2773,,944,,1307,,2088,,2123,,960,,152,,1078,,1061,,0,,0," 12,486 ",Jr. Fiction - Pap,
Preteen Fiction,882,,341,,594,,1107,,530,,597,,53,,585,,658,,0,,0," 5,347 ",Preteen Fiction,
Preteen Fiction -,988,,427,,572,,943,,491,,599,,88,,600,,565,,0,,0," 5,273 ",Preteen Fiction -,
Jr Step Up,590,,421,,516,,880,,378,,295,,81,,511,,352,,0,,0," 4,024 ",Jr Step Up,
Jr. Step up - Pap,813,,523,,585,,1045,,676,,402,,116,,533,,637,,0,,0," 5,330 ",Jr. Step up - Pap,
Jr Board Books,1465,,934,,1092,,1177,,1489,,905,,171,,1319,,913,,0,,0," 9,465 ",Jr Board Books,
Jr CD Other Lang,42,,16,,18,,51,,9,,0,,0,,25,,14,,0,,0, 175 ,Jr CD Other Lang,
Jr Generic French,995,,552,,350,,562,,495,,475,,17,,542,,460,,0,,0," 4,448 ",Jr Generic French,
Jr Generic Kit,445,,282,,383,,443,,331,,194,,79,,258,,264,,0,,0," 2,679 ",Jr Generic Kit,
Jr Generic Kit -,66,,32,,26,,67,,22,,2,,0,,1,,0,,0,,0, 216 ,Jr Generic Kit -,
Jr Generic Kit O,13,,3,,13,,12,,10,,2,,0,,5,,5,,0,,0, 63 ,Jr Generic Kit O,
Jr. Magazine - Ge,46,,0,,8,,0,,0,,5,,0,,1,,4,,0,,0, 64 ,Jr. Magazine - Ge,
Jr. Generic Arabi,11,,0,,0,,89,,4,,0,,0,,0,,27,,0,,0, 131 ,Jr. Generic Arabi,
Jr. Generic Chine,236,,202,,276,,592,,185,,25,,0,,508,,444,,0,,0," 2,468 ",Jr. Generic Chine,
Jr. Generic Dutch,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0, 3 ,Jr. Generic Dutch,
Jr. Generic Farsi,29,,0,,0,,16,,8,,0,,0,,0,,0,,0,,0, 53 ,Jr. Generic Farsi,
Jr. Generic Germa,29,,0,,0,,60,,11,,4,,0,,30,,0,,0,,0, 134 ,Jr. Generic Germa,
Jr. Generic Gujar,0,,0,,0,,7,,0,,0,,0,,0,,0,,0,,0, 7 ,Jr. Generic Gujar,
Jr. Generic Hinda,60,,0,,56,,32,,22,,0,,0,,0,,157,,0,,0, 327 ,Jr. Generic Hinda,
Jr. Generic Japan,33,,0,,0,,81,,8,,1,,0,,0,,0,,0,,0, 123 ,Jr. Generic Japan,
Jr. Generic - Kor,99,,21,,129,,322,,21,,7,,0,,146,,0,,0,,0, 745 ,Jr. Generic - Kor,
Jr. Generic - Pan,124,,25,,126,,159,,79,,0,,0,,0,,197,,0,,0, 710 ,Jr. Generic - Pan,
Jr. Generic - Pol,9,,0,,0,,29,,0,,0,,0,,0,,0,,0,,0, 38 ,Jr. Generic - Pol,
Jr. Generic Russi,17,,0,,0,,0,,0,,0,,0,,9,,0,,0,,0, 26 ,Jr. Generic Russi,
Jr. Generic Spani,31,,1,,18,,41,,7,,16,,0,,62,,0,,0,,0, 176 ,Jr. Generic Spani,
Jr. Generic Tagal,30,,0,,0,,42,,0,,0,,0,,0,,0,,0,,0, 72 ,Jr. Generic Tagal,
Jr. Generic Urdu,2,,0,,0,,14,,4,,0,,0,,0,,46,,0,,0, 66 ,Jr. Generic Urdu,
Jr. Generic Vietn,39,,0,,24,,46,,16,,0,,0,,0,,0,,0,,0, 125 ,Jr. Generic Vietn,
Jr Paperbacks,4142,,2408,,3518,,8142,,6194,,3435,,927,,3411,,3385,,0,,0," 35,562 ",Jr Paperbacks,
Jr Generic Reader,4658,,2613,,3332,,6185,,4438,,2427,,602,,4193,,2983,,0,,0," 31,431 ",Jr Generic Reader,
Jr. Generic Tape,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Jr. Generic Tape,
Jr GenericVid OL,81,,18,,28,,58,,15,,3,,0,,44,,23,,0,,0, 270 ,Jr GenericVid OL,
Jr Elt Kit Nonfic,4,,3,,3,,3,,3,,2,,1,,4,,4,,0,,0, 27 ,Jr Elt Kit Nonfic,
Jr Kit Fiction,2,,3,,4,,2,,5,,1,,4,,2,,3,,0,,0, 26 ,Jr Kit Fiction,
Jr Kit Nonfiction,18,,15,,18,,40,,21,,23,,0,,44,,19,,0,,0, 198 ,Jr Kit Nonfiction,
Jr. Magazine,272,,134,,161,,518,,193,,180,,85,,371,,125,,0,,0," 2,039 ",Jr. Magazine,
Jr. Magazine - Fr,0,,0,,0,,1,,17,,2,,0,,0,,1,,0,,0, 21 ,Jr. Magazine - Fr,
Jr Nonfiction,7705,,3996,,6039,,12425,,6108,,5014,,780,,8482,,6741,,1,,0," 57,291 ",Jr Nonfiction,
Jr Easy Nonfic,1554,,868,,1118,,2753,,963,,1148,,147,,1366,,1038,,0,,0," 10,955 ",Jr Easy Nonfic,
Jr French Nonfic,178,,210,,179,,222,,101,,224,,1,,465,,88,,0,,0," 1,668 ",Jr French Nonfic,
Jr. Bilingual Boo,529,,96,,245,,659,,321,,137,,1,,221,,386,,0,,0," 2,595 ",Jr. Bilingual Boo,
