2013,,,,,,,,,,,,,,,,,,,,,,,2012,
Mo,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,ort - Col,,Mo,
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--,
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,,
Locations on this,City Cent,,Cloverdal,,Fleetwood,,Guildford,,Newton Li,,Ocean Par,,Port Kell,,Semiahmoo,,Strawberr,,ReadAbility,,Collectio,Dec-13,Locations on this,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta,
,,,,,,,,,,,,,,,,,,,,,,,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------,
Reference - Consu,47,,40,,32,,35,,32,,20,,7,,27,,34,,0,,0, 274 ,Reference - Consu,
Reference - Direc,84,,10,,2,,80,,57,,9,,0,,84,,5,,0,,0, 331 ,Reference - Direc,
Reference - Desk,26,,24,,249,,138,,32,,20,,3,,30,,14,,0,,0, 536 ,Reference - Desk,
Reference - Encyc,89,,20,,3,,77,,72,,0,,0,,137,,32,,0,,0, 430 ,Reference - Encyc,
Reference - Genea,3,,3053,,0,,0,,0,,0,,0,,0,,0,,0,,0," 3,056 ",Reference - Genea,
Reference - Genea,0,,50,,0,,0,,0,,0,,0,,0,,0,,0,,0, 50 ,Reference - Genea,
Reference - Genea,0,,163,,0,,0,,0,,0,,0,,0,,0,,0,,2, 165 ,Reference - Genea,
Reference - Genea,0,,63,,0,,0,,0,,0,,0,,0,,0,,0,,0, 63 ,Reference - Genea,
Reference - Genea,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Reference - Genea,
Reference - Gov.,171,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0, 175 ,Reference - Gov.,
Reference - Index,6,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0, 9 ,Reference - Index,
Reference - Inves,1,,0,,0,,8,,9,,15,,0,,21,,0,,0,,0, 54 ,Reference - Inves,
Reference - Legal,145,,52,,59,,494,,77,,35,,31,,149,,60,,1,,0," 1,103 ",Reference - Legal,
Reference - Micro,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Reference - Micro,
Reference - Reade,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0, 3 ,Reference - Reade,
Reference - Stora,1,,0,,0,,140,,1,,1,,0,,0,,0,,0,,0, 143 ,Reference - Stora,
Superloan,2,,1,,1,,2,,1,,1,,1,,1,,1,,0,,0, 11 ,Superloan,
Superloan DVD,0,,0,,0,,1,,0,,0,,0,,0,,2,,0,,0, 3 ,Superloan DVD,
Superloan Fiction,158,,79,,84,,104,,89,,73,,29,,89,,54,,0,,0, 759 ,Superloan Fiction,
Superloan Nonfict,6,,2,,4,,7,,6,,0,,1,,4,,1,,0,,0, 31 ,Superloan Nonfict,
Elt Tapes,1,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0, 5 ,Elt Tapes,
Books On Tape Fic,10,,2,,5,,11,,9,,4,,0,,14,,1,,0,,0, 56 ,Books On Tape Fic,
Books On Tape Oth,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Books On Tape Oth,
Books On Tape Non,8,,8,,7,,8,,12,,1,,0,,6,,4,,1,,0, 55 ,Books On Tape Non,
Unknown,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Unknown,
Careers Videos,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Careers Videos,
Elt Videos,1,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0, 3 ,Elt Videos,
Videos - Fiction,20,,3,,7,,13,,16,,0,,1,,7,,3,,0,,0, 70 ,Videos - Fiction,
Nonfiction Videos,42,,11,,42,,32,,167,,5,,0,,15,,87,,0,,0, 401 ,Nonfiction Videos,
Video Hindi Ficti,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0, 2 ,Video Hindi Ficti,
Other Language Vi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Other Language Vi,
Video Panjabi Fic,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0, 1 ,Video Panjabi Fic,
Video Panjabi Non,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0, 2 ,Video Panjabi Non,
Young Adult Biogr,32,,33,,56,,107,,62,,13,,3,,49,,43,,0,,0, 398 ,Young Adult Biogr,
Ya Books On Cd -,118,,61,,53,,167,,54,,56,,2,,105,,61,,0,,0, 677 ,Ya Books On Cd -,
Ya Books On Cd -,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0, 2 ,Ya Books On Cd -,
Young Adult Dvd -,549,,176,,203,,523,,495,,138,,38,,348,,306,,0,,0," 2,776 ",Young Adult Dvd -,
Young Adult Dvd -,26,,9,,13,,36,,22,,10,,2,,22,,17,,0,,0, 157 ,Young Adult Dvd -,
Young Adult Ficti,2615,,881,,1869,,3789,,1430,,1129,,269,,2313,,1382,,0,,0," 15,677 ",Young Adult Ficti,
Young Adult Ficti,68,,29,,19,,70,,43,,32,,0,,49,,16,,0,,0, 326 ,Young Adult Ficti,
YA Graphic Novel,5706,,1601,,1925,,3754,,2276,,1134,,546,,1749,,1952,,0,,0," 20,643 ",YA Graphic Novel,
YA Fiction - Pape,2248,,620,,973,,2539,,741,,692,,295,,1051,,1106,,0,,0," 10,265 ",YA Fiction - Pape,
YA Generic Graphi,0,,0,,3,,2,,1,,1,,0,,0,,3,,0,,0, 10 ,YA Generic Graphi,
Young Adult Paper,93,,53,,137,,155,,49,,158,,27,,402,,110,,0,,0," 1,184 ",Young Adult Paper,
YA Magazine,228,,178,,148,,285,,140,,109,,61,,234,,101,,0,,0," 1,484 ",YA Magazine,
Young Adult Nonfi,1057,,552,,750,,1526,,878,,471,,51,,809,,866,,0,,0," 6,960 ",Young Adult Nonfi,
Young Adult Frenc,3,,3,,2,,6,,5,,2,,0,,5,,1,,0,,0, 27 ,Young Adult Frenc,
YA Nonfiction - P,1,,0,,1,,1,,0,,0,,0,,1,,0,,0,,0, 4 ,YA Nonfiction - P,
Young Adult Tape,2,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0, 3 ,Young Adult Tape,
Young Adult Video,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0, 2 ,Young Adult Video,
On Order,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,On Order,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,145510,,63755,,75748,,155101,,100004,,51901,,13382,,109114,,70408,,7494,,221," 792,638 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,265,,0, 265 ,Generalities,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,265,,0, 265 ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Generalities,
Journalism,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Journalism,
Philosophy,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0, 5 ,Philosophy,
Paranormal,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Paranormal,
Schools Of Philos,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Schools Of Philos,
Psychology,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,,0, 34 ,Psychology,
Logic & Ethics,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0, 5 ,Logic & Ethics,
Oriental Philosop,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0, 2 ,Oriental Philosop,
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0, 2 ,Modern Western Ph,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Religion,
Bible,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0, 6 ,Bible,
Christianity,0,,0,,0,,0,,0,,0,,0,,0,,0,,41,,0, 41 ,Christianity,
Christian Sects,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Christian Sects,
Comparative Relig,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,,0, 13 ,Comparative Relig,
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,54,,0, 54 ,Social Sciences,
Statistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Statistics,
Political Science,0,,0,,0,,0,,0,,0,,0,,0,,0,,23,,0, 23 ,Political Science,
Economics,0,,0,,0,,0,,0,,0,,0,,0,,0,,34,,0, 34 ,Economics,
Law,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Law,
Public Administra,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,,0, 14 ,Public Administra,
Social Problems &,0,,0,,0,,0,,0,,0,,0,,0,,0,,66,,0, 66 ,Social Problems &,
Education,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,0, 7 ,Education,
Commerce,0,,0,,0,,0,,0,,0,,0,,0,,0,,18,,0, 18 ,Commerce,
Customs,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,,0, 12 ,Customs,
Language,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Language,
Linguistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Linguistics,
Science,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Science,
Mathematics,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Mathematics,
Astronomy,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0, 5 ,Astronomy,
Physics,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Physics,
Chemistry,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Chemistry,
Earth Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Earth Sciences,
Paleontology,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Paleontology,
Life Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0, 6 ,Life Sciences,
Plants,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Plants,
Animals,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,,0, 30 ,Animals,
Technology,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Technology,
Medical Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,49,,0, 49 ,Medical Sciences,
Engineering,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,,0, 11 ,Engineering,
Agriculture,0,,0,,0,,0,,0,,0,,0,,0,,0,,62,,0, 62 ,Agriculture,
Home Economics,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,,0, 27 ,Home Economics,
Management,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Management,
Chemical Engineer,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Chemical Engineer,
Manufacturng,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Manufacturng,
Specific Manufact,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Specific Manufact,
Buildings,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Buildings,
The Arts,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,The Arts,
Civic & Landscape,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Civic & Landscape,
Architecture,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Architecture,
Sculpture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Sculpture,
Drawing,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Drawing,
Painting,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Painting,
Graphic Arts,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Graphic Arts,
Photography,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Photography,
Music,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,,0, 14 ,Music,
Recreation & Perf,0,,0,,0,,0,,0,,0,,0,,0,,0,,78,,0, 78 ,Recreation & Perf,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0, 5 ,Literature,
American Literatu,0,,0,,0,,0,,0,,0,,0,,0,,0,,52,,0, 52 ,American Literatu,
English Literatur,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,,0, 35 ,English Literatur,
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,0, 7 ,Geography & Histo,
Geography & Trave,0,,0,,0,,0,,0,,0,,0,,0,,0,,146,,0, 146 ,Geography & Trave,
Genealogy,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Genealogy,
Ancient History,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Ancient History,
European History,0,,0,,0,,0,,0,,0,,0,,0,,0,,122,,0, 122 ,European History,
Asian History,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,,0, 21 ,Asian History,
African History,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,African History,
North American Hi,0,,0,,0,,0,,0,,0,,0,,0,,0,,152,,0, 152 ,North American Hi,
South American Hi,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,South American Hi,
Other Areas Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,,0, 37 ,Other Areas Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,1299,,0," 1,299 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities,
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion,
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences,
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages,
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema,
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi,
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature,
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,45,,23,,12,,56,,25,,19,,5,,56,,7,,0,,0, 248 ,Generalities,
Philosophy,14,,9,,6,,23,,6,,8,,4,,11,,8,,0,,0, 89 ,Philosophy,
Religion,59,,49,,28,,63,,40,,21,,2,,59,,13,,0,,0, 334 ,Religion,
Social Sciences,279,,136,,121,,267,,187,,105,,19,,274,,96,,0,,0," 1,484 ",Social Sciences,
Languages,1,,0,,1,,4,,0,,0,,0,,1,,0,,0,,0, 7 ,Languages,
Natural Sciences,17,,8,,10,,29,,16,,10,,1,,29,,5,,0,,0, 125 ,Natural Sciences,
Technology,106,,60,,66,,120,,63,,53,,8,,93,,23,,0,,0, 592 ,Technology,
The Arts,544,,281,,289,,554,,319,,175,,42,,527,,127,,0,,0," 2,858 ",The Arts,
Literature,122,,60,,67,,197,,88,,55,,3,,207,,20,,0,,0, 819 ,Literature,
Geography & Trave,392,,264,,265,,637,,355,,224,,20,,501,,110,,0,,0," 2,768 ",Geography & Trave,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,1579,,890,,865,,1950,,1099,,670,,104,,1758,,409,,0,,0," 9,324 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Data Processing,635,,196,,469,,605,,655,,162,,38,,740,,333,,0,,0," 3,833 ",Data Processing,
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc,
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion,
Social Sciences,11,,7,,7,,6,,20,,1,,1,,10,,6,,0,,0, 69 ,Social Sciences,
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages,
Science & Mathema,1,,0,,0,,2,,1,,0,,0,,1,,0,,0,,0, 5 ,Science & Mathema,
Technology & Medi,60,,17,,35,,61,,89,,9,,1,,63,,36,,0,,0, 371 ,Technology & Medi,
The Arts & Sports,34,,10,,20,,44,,33,,6,,0,,41,,20,,0,,0, 208 ,The Arts & Sports,
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature,
Geography & Histo,1,,1,,1,,0,,1,,0,,0,,1,,0,,0,,0, 5 ,Geography & Histo,
Data Processing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Data Processing,
Data Processing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Data Processing,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,742,,231,,532,,718,,799,,178,,40,,856,,395,,0,,0," 4,491 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,3,,1,,3,,6,,5,,3,,0,,3,,0,,0,,0, 24 ,Generalities,
Philosophy & Psyc,68,,27,,41,,75,,67,,20,,3,,90,,40,,0,,0, 431 ,Philosophy & Psyc,
Religion,50,,25,,35,,41,,31,,15,,3,,54,,23,,0,,0, 277 ,Religion,
Social Sciences,88,,43,,42,,87,,54,,26,,3,,109,,33,,0,,0, 485 ,Social Sciences,
Languages,114,,35,,46,,72,,67,,25,,9,,82,,50,,0,,0, 500 ,Languages,
Science & Technol,9,,4,,4,,12,,7,,1,,0,,15,,7,,0,,0, 59 ,Science & Technol,
Technology & Medi,86,,45,,45,,67,,75,,19,,4,,117,,48,,0,,0, 506 ,Technology & Medi,
The Arts / Sports,46,,31,,12,,36,,31,,19,,0,,45,,22,,0,,0, 242 ,The Arts / Sports,
Literature,39,,21,,20,,28,,30,,20,,0,,47,,15,,0,,0, 220 ,Literature,
Geography & Histo,81,,41,,28,,85,,50,,18,,3,,98,,23,,0,,0, 427 ,Geography & Histo,
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----,
Total,584,,273,,276,,509,,417,,166,,25,,660,,261,,0,,0," 3,171 ",Total,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Items: Call# ISta,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De, -   ,Items: Call# ISta,
,,,,,,,,,,,,,,,,,,,,,, -   ,,
Description,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13,,Dec-13," 457,699 ",Description,
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------,
Generalities,66,,26,,25,,74,,50,,10,,3,,53,,24,,0,,0, 331 ,Generalities,
Computers,37,,15,,8,,33,,25,,4,,1,,19,,20,,0,,0, 162 ,Computers,
Bibliography,10,,4,,5,,23,,8,,3,,0,,14,,2,,0,,0, 69 ,Bibliography,
Library Science,150,,14,,12,,113,,28,,7,,2,,61,,13,,0,,3, 403 ,Library Science,
General Encyclope,56,,37,,62,,69,,68,,28,,4,,84,,56,,0,,0, 464 ,General Encyclope,
General Serials,2,,1,,1,,2,,3,,1,,0,,3,,0,,0,,0, 13 ,General Serials,
General Organizat,2,,5,,2,,6,,2,,1,,1,,5,,2,,0,,0, 26 ,General Organizat,
Museology,1,,0,,0,,2,,0,,0,,0,,1,,0,,0,,0, 4 ,Museology,
Journalism,57,,8,,16,,44,,36,,5,,2,,41,,10,,0,,0, 219 ,Journalism,
General Collectio,33,,9,,7,,22,,20,,2,,1,,18,,8,,0,,0, 120 ,General Collectio,
Manuscripts & Rar,0,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0, 3 ,Manuscripts & Rar,
Philosophy,47,,21,,23,,55,,37,,10,,1,,48,,14,,0,,0, 256 ,Philosophy,
Paranormal,16,,7,,5,,15,,9,,3,,2,,13,,5,,0,,0, 75 ,Paranormal,
Parapsychology,70,,30,,54,,104,,63,,13,,3,,75,,28,,0,,0, 440 ,Parapsychology,
Demonology & Witc,18,,10,,9,,17,,15,,4,,2,,36,,5,,0,,0, 116 ,Demonology & Witc,
Astrology,120,,44,,51,,107,,84,,27,,10,,85,,45,,0,,0, 573 ,Astrology,
Dreams & Mysterie,8,,1,,4,,5,,6,,3,,0,,6,,2,,0,,0, 35 ,Dreams & Mysterie,
"Graphology, Physi",4,,0,,1,,3,,2,,1,,0,,1,,1,,0,,0, 13 ,"Graphology, Physi",
Schools Of Philos,5,,0,,1,,3,,0,,0,,0,,8,,1,,0,,0, 18 ,Schools Of Philos,
Psychology,404,,162,,157,,477,,280,,92,,20,,296,,171,,0,,0," 2,059 ",Psychology,
Applied Psycholog,328,,145,,170,,335,,294,,89,,19,,229,,191,,0,,0," 1,800 ",Applied Psycholog,
Interpersonal Rel,59,,27,,23,,78,,39,,7,,3,,46,,29,,0,,0, 311 ,Interpersonal Rel,
Logic & Ethics,72,,46,,32,,128,,76,,16,,6,,74,,27,,0,,0, 477 ,Logic & Ethics,
Oriental Philosop,56,,8,,9,,30,,30,,3,,1,,22,,24,,0,,0, 183 ,Oriental Philosop,
Modern Western Ph,28,,3,,6,,38,,19,,4,,0,,31,,5,,0,,0, 134 ,Modern Western Ph,
Religion,164,,78,,66,,153,,116,,35,,14,,138,,63,,0,,0, 827 ,Religion,
Bible,60,,33,,22,,76,,51,,8,,0,,61,,9,,0,,0, 320 ,Bible,
Christianity,337,,216,,175,,388,,263,,78,,26,,279,,90,,0,,0," 1,852 ",Christianity,
Christian Sects,10,,7,,8,,16,,13,,2,,1,,6,,1,,0,,0, 64 ,Christian Sects,
Comparative Relig,24,,17,,7,,53,,32,,5,,7,,35,,23,,0,,0, 203 ,Comparative Relig,
Major Religions,330,,92,,138,,257,,309,,35,,7,,208,,390,,0,,0," 1,766 ",Major Religions,
Other Religions,61,,36,,27,,70,,63,,8,,4,,79,,33,,0,,0, 381 ,Other Religions,
Social Sciences,168,,77,,81,,222,,145,,33,,6,,200,,71,,0,,0," 1,003 ",Social Sciences,
Social Groups,438,,254,,197,,678,,445,,107,,31,,490,,191,,0,,0," 2,831 ",Social Groups,
Statistics,4,,2,,2,,4,,3,,0,,1,,0,,0,,0,,0, 16 ,Statistics,
