,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Horror - Paperbac,147,,36,,51,,86,,57,,6,,11,,38,,38,,0,,0, 470 ,Horror - Paperbac
Mystery,3037,,1323,,1446,,2445,,1736,,1007,,318,,1865,,1157,,0,,0," 14,334 ",Mystery
Fiction - Mystery,1386,,258,,426,,912,,500,,249,,172,,261,,380,,0,,0," 4,544 ",Fiction - Mystery
Fiction - Paperba,1410,,388,,428,,801,,421,,206,,100,,340,,524,,0,,0," 4,618 ",Fiction - Paperba
Romance,1148,,623,,669,,1094,,838,,289,,116,,527,,626,,0,,0," 5,930 ",Romance
Fiction - Romance,2274,,840,,937,,1656,,1294,,492,,208,,531,,1249,,0,,0," 9,481 ",Fiction - Romance
Science Fiction,1289,,641,,640,,1153,,1010,,279,,74,,735,,636,,0,,0," 6,457 ",Science Fiction
Fiction - Sci Fi,775,,296,,321,,633,,474,,87,,80,,168,,311,,0,,0," 3,145 ",Fiction - Sci Fi
Western,47,,62,,28,,75,,66,,15,,3,,51,,27,,0,,0, 374 ,Western
Fiction - Western,283,,189,,98,,202,,136,,44,,63,,96,,129,,0,,0," 1,240 ",Fiction - Western
French Fiction,347,,185,,106,,294,,125,,51,,0,,147,,49,,0,,0," 1,304 ",French Fiction
French Nonfiction,87,,36,,16,,107,,32,,17,,1,,70,,14,,0,,0, 380 ,French Nonfiction
CD Other Language,0,,0,,0,,0,,0,,0,,0,,0,,6,,0,,0, 6 ,CD Other Language
DVD - Generic,293,,0,,60,,175,,55,,0,,0,,30,,83,,0,,0, 696 ,DVD - Generic
Elt Generic,1,,1,,0,,0,,7,,0,,0,,0,,1,,0,,0, 10 ,Elt Generic
Genealogy,26,,47,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Genealogy
Inter Library Loa,0,,0,,0,,578,,0,,0,,0,,0,,0,,0,,0, 578 ,Inter Library Loa
Audio Book Ill,0,,0,,0,,0,,0,,0,,0,,0,,0,,370,,0, 370 ,Audio Book Ill
Magazine - Generi,73,,16,,218,,47,,126,,208,,0,,16,,3,,0,,0, 707 ,Magazine - Generi
Other Language Ma,4,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0, 7 ,Other Language Ma
Generic Arabic,57,,0,,0,,117,,0,,0,,0,,0,,33,,0,,0, 207 ,Generic Arabic
Generic Chinese,1476,,76,,888,,1816,,879,,0,,0,,1002,,765,,0,,0," 6,902 ",Generic Chinese
Generic Dutch,0,,0,,0,,45,,0,,0,,0,,0,,0,,0,,0, 45 ,Generic Dutch
Generic Farsi,144,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 145 ,Generic Farsi
Generic German,36,,0,,0,,51,,18,,0,,0,,64,,0,,0,,0, 169 ,Generic German
Generic Gujarati,83,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 83 ,Generic Gujarati
Generic Hinda,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 2 ,Generic Hinda
Generic Japanese,149,,0,,0,,98,,15,,0,,0,,0,,0,,0,,0, 262 ,Generic Japanese
Generic Korean,558,,0,,139,,399,,63,,0,,0,,371,,0,,0,,0," 1,530 ",Generic Korean
Pangabi - Generic,0,,0,,2,,7,,1,,0,,0,,0,,1,,0,,0, 11 ,Pangabi - Generic
Generic Polish,67,,0,,0,,96,,0,,0,,0,,0,,0,,0,,0, 163 ,Generic Polish
Generic Russian,128,,0,,0,,0,,0,,0,,0,,125,,0,,0,,0, 253 ,Generic Russian
Spanish - Generic,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 2 ,Spanish - Generic
Generic Tagalog,202,,0,,81,,205,,0,,0,,0,,0,,0,,0,,0, 488 ,Generic Tagalog
Generic Urdu,238,,0,,87,,105,,218,,0,,0,,0,,232,,0,,0, 880 ,Generic Urdu
Generic Vietnames,106,,0,,6,,141,,0,,0,,0,,0,,0,,0,,0, 253 ,Generic Vietnames
Paperback - Gener,295,,57,,226,,99,,69,,3,,10,,42,,37,,0,,0, 838 ,Paperback - Gener
French Paperback,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0, 1 ,French Paperback
Homebound - Nonfi,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,,0, 29 ,Homebound - Nonfi
Hmbnd CD Fiction,0,,0,,0,,0,,0,,0,,0,,0,,0,,734,,0, 734 ,Hmbnd CD Fiction
Hmbnd CD Nonfic,0,,0,,0,,0,,0,,0,,0,,0,,0,,115,,0, 115 ,Hmbnd CD Nonfic
Hmbnd DAISY - Fic,0,,0,,0,,0,,0,,0,,0,,0,,0,,423,,0, 423 ,Hmbnd DAISY - Fic
Hmbnd DAISY - Non,0,,0,,0,,0,,0,,0,,0,,0,,0,,179,,0, 179 ,Hmbnd DAISY - Non
READ-Ability CELA,0,,0,,0,,0,,0,,0,,0,,0,,0,,704,,0,,READ-Ability CELA
READ-Ability CELA,0,,0,,0,,0,,0,,0,,0,,0,,0,,268,,0,,READ-Ability CELA
Hmbnd MP3 - Ficti,0,,0,,0,,0,,0,,0,,0,,0,,0,,2154,,0," 2,154 ",Hmbnd MP3 - Ficti
Hmbnd MP3 - Nonfi,0,,0,,0,,0,,0,,0,,0,,0,,0,,707,,0, 707 ,Hmbnd MP3 - Nonfi
Hooser Weaving Co,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Hooser Weaving Co
Jr Alphabet Book,175,,102,,158,,175,,96,,94,,24,,216,,81,,0,,0," 1,121 ",Jr Alphabet Book
Jr Biography,362,,197,,371,,671,,294,,242,,16,,468,,226,,0,,0," 2,847 ",Jr Biography
Junior Book Club,3,,3,,3,,2,,6,,0,,0,,5,,0,,0,,0, 22 ,Junior Book Club
Jr Compact Disc,379,,148,,292,,321,,179,,134,,100,,187,,239,,0,,1," 1,980 ",Jr Compact Disc
Jr CD Fiction,387,,181,,255,,511,,246,,153,,75,,217,,167,,0,,0," 2,192 ",Jr CD Fiction
Jr. French CD,10,,6,,5,,7,,6,,3,,1,,6,,3,,0,,0, 47 ,Jr. French CD
Jr CD Nonfiction,9,,3,,9,,21,,1,,10,,0,,4,,3,,0,,0, 60 ,Jr CD Nonfiction
Jr CD-rom,2,,1,,2,,1,,1,,1,,30,,1,,2,,0,,0, 41 ,Jr CD-rom
Jr Counting,199,,123,,161,,216,,97,,98,,34,,240,,103,,0,,0," 1,271 ",Jr Counting
Jr DVD Fiction,4270,,2271,,2662,,3621,,3037,,1526,,423,,2552,,2594,,0,,0," 22,956 ",Jr DVD Fiction
