,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,2017
Mo,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,nthly Rep,,Mo
--,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,---------,,--
,,,,,,,,,,,,,,,,,,,,,, TOTAL ,
Locations on this,City Centre,,Cloverdale,,Fleetwood,,Guildford,,Newton,,Ocean Park,,Port Kells,,Semiahmoo,,Strawberry Hill,,ReadAbility,,CS,Jan-18,Locations on this
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Items: Coll. ISta,,,,,,,,,,,,,,,,,,,,,,,Items: Coll. ISta
,,,,,,,,,,,,,,,,,,,,,,,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,-----------------
Superloan Nonfict,20,,5,,10,,9,,7,,5,,1,,7,,9,,0,,0, 73 ,Superloan Nonfict
Books On Tape Fic,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0, 1 ,Books On Tape Fic
Books On Tape Non,2,,2,,3,,1,,4,,0,,0,,3,,2,,0,,0, 17 ,Books On Tape Non
Unknown,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Unknown
Videos - Fiction,2,,1,,1,,0,,4,,0,,0,,2,,1,,0,,0, 11 ,Videos - Fiction
Nonfiction Videos,10,,1,,16,,1,,19,,1,,0,,7,,12,,0,,0, 67 ,Nonfiction Videos
Young Adult Biogr,44,,21,,58,,106,,67,,14,,2,,66,,35,,0,,0, 413 ,Young Adult Biogr
Ya Books On Cd -,113,,54,,68,,165,,67,,20,,2,,96,,55,,0,,0, 640 ,Ya Books On Cd -
Ya Books On Cd -,3,,1,,0,,3,,2,,0,,0,,0,,1,,0,,0, 10 ,Ya Books On Cd -
Young Adult Dvd -,838,,421,,440,,689,,682,,306,,104,,575,,491,,0,,0," 4,546 ",Young Adult Dvd -
Young Adult Dvd -,50,,34,,38,,65,,50,,35,,6,,33,,45,,0,,0, 356 ,Young Adult Dvd -
Teen DVD - Superl,38,,25,,24,,33,,24,,14,,10,,28,,30,,0,,0,,Teen DVD - Superl
Young Adult Ficti,2851,,978,,2031,,3665,,2001,,872,,288,,2357,,1492,,0,,0," 16,535 ",Young Adult Ficti
Young Adult Ficti,101,,7,,31,,84,,50,,26,,0,,39,,28,,0,,0, 366 ,Young Adult Ficti
YA Graphic Novel,3377,,784,,1407,,2723,,1721,,618,,207,,1155,,1210,,0,,0," 13,202 ",YA Graphic Novel
YA Fiction - Pape,1627,,475,,824,,1868,,695,,439,,138,,837,,900,,0,,0," 7,803 ",YA Fiction - Pape
YA Generic Graphi,0,,0,,1,,0,,1,,0,,0,,0,,1,,0,,0, 3 ,YA Generic Graphi
Young Adult Paper,16,,9,,30,,27,,12,,5,,0,,17,,16,,0,,0, 132 ,Young Adult Paper
YA Magazine,203,,180,,99,,217,,73,,114,,62,,181,,65,,0,,0," 1,194 ",YA Magazine
Young Adult Nonfi,1093,,513,,712,,1548,,1039,,338,,64,,642,,651,,0,,0," 6,600 ",Young Adult Nonfi
Young Adult Frenc,6,,2,,2,,9,,2,,2,,0,,7,,2,,0,,0, 32 ,Young Adult Frenc
YA Nonfiction - P,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,YA Nonfiction - P
On Order,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,On Order
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,140462,,62265,,78132,,144824,,97673,,43332,,13502,,96031,,67273,,5697,,22," 749,213 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc,,t abbddc, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (,,t abddc (, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Generalities
Journalism,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,,0, 14 ,Journalism
Philosophy,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0, 2 ,Philosophy
Paranormal,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Paranormal
Schools Of Philos,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Schools Of Philos
Psychology,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,,0, 29 ,Psychology
Logic & Ethics,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0, 6 ,Logic & Ethics
Oriental Philosop,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Oriental Philosop
Modern Western Ph,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Modern Western Ph
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Religion
Bible,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Bible
Christianity,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,,0, 35 ,Christianity
Christian Sects,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0, 2 ,Christian Sects
Comparative Relig,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,,0, 13 ,Comparative Relig
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,44,,0, 44 ,Social Sciences
Statistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Statistics
Political Science,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,,0, 27 ,Political Science
Economics,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,,0, 37 ,Economics
Law,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,0, 7 ,Law
Public Administra,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,,0, 21 ,Public Administra
Social Problems &,0,,0,,0,,0,,0,,0,,0,,0,,0,,107,,0, 107 ,Social Problems &
Education,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0, 6 ,Education
Commerce,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Commerce
Customs,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0, 6 ,Customs
Language,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Language
Linguistics,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Linguistics
Science,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Science
Mathematics,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Mathematics
Astronomy,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,,0, 9 ,Astronomy
Physics,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Physics
Chemistry,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Chemistry
Earth Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Earth Sciences
Paleontology,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Paleontology
Life Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Life Sciences
Plants,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Plants
Animals,0,,0,,0,,0,,0,,0,,0,,0,,0,,16,,0, 16 ,Animals
Technology,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Technology
Medical Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,65,,0, 65 ,Medical Sciences
Engineering,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,,0, 14 ,Engineering
Agriculture,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,,0, 28 ,Agriculture
Home Economics,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,,0, 33 ,Home Economics
Management,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Management
Chemical Engineer,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Chemical Engineer
Manufacturng,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Manufacturng
Specific Manufact,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Specific Manufact
Buildings,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Buildings
The Arts,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0, 2 ,The Arts
Civic & Landscape,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Civic & Landscape
Architecture,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0, 1 ,Architecture
Sculpture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Sculpture
Drawing,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,Drawing
Painting,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Painting
Graphic Arts,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Graphic Arts
Photography,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Photography
Music,0,,0,,0,,0,,0,,0,,0,,0,,0,,29,,0, 29 ,Music
Recreation & Perf,0,,0,,0,,0,,0,,0,,0,,0,,0,,101,,0, 101 ,Recreation & Perf
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0, 4 ,Literature
American Literatu,0,,0,,0,,0,,0,,0,,0,,0,,0,,38,,0, 38 ,American Literatu
English Literatur,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,,0, 27 ,English Literatur
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0, 8 ,Geography & Histo
Geography & Trave,0,,0,,0,,0,,0,,0,,0,,0,,0,,85,,0, 85 ,Geography & Trave
Genealogy,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0, 10 ,Genealogy
Ancient History,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,,0, 12 ,Ancient History
European History,0,,0,,0,,0,,0,,0,,0,,0,,0,,136,,0, 136 ,European History
Asian History,0,,0,,0,,0,,0,,0,,0,,0,,0,,44,,0, 44 ,Asian History
African History,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,,0, 11 ,African History
North American Hi,0,,0,,0,,0,,0,,0,,0,,0,,0,,111,,0, 111 ,North American Hi
South American Hi,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0, 3 ,South American Hi
Other Areas Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,22,,0, 22 ,Other Areas Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,1269,,0," 1,269 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc,,t abvddc, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Generalities
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Social Sciences
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages
Science & Mathema,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Science & Mathema
Technology & Medi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Technology & Medi
The Arts / Sports,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,The Arts / Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D,,t bddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,47,,16,,12,,58,,40,,10,,3,,39,,9,,0,,0, 234 ,Generalities
Philosophy,10,,6,,3,,19,,6,,4,,0,,8,,4,,0,,0, 60 ,Philosophy
Religion,49,,36,,21,,60,,43,,16,,0,,29,,5,,0,,0, 259 ,Religion
Social Sciences,290,,118,,112,,294,,210,,78,,15,,218,,78,,0,,0," 1,413 ",Social Sciences
Languages,1,,0,,1,,2,,0,,0,,0,,0,,0,,0,,0, 4 ,Languages
Natural Sciences,23,,8,,10,,32,,24,,10,,3,,22,,4,,0,,0, 136 ,Natural Sciences
Technology,119,,61,,54,,130,,91,,37,,9,,71,,27,,0,,0, 599 ,Technology
The Arts,551,,288,,313,,607,,461,,137,,52,,459,,157,,0,,0," 3,025 ",The Arts
Literature,114,,68,,67,,198,,117,,41,,3,,154,,12,,0,,0, 774 ,Literature
Geography & Trave,364,,249,,195,,524,,342,,119,,12,,367,,68,,0,,0," 2,240 ",Geography & Trave
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,1568,,850,,788,,1924,,1334,,452,,97,,1367,,364,,0,,0," 8,744 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D,,t cddc (D, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Data Processing,790,,167,,193,,562,,402,,106,,42,,323,,264,,0,,0," 2,849 ",Data Processing
Philosophy & Psyc,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Philosophy & Psyc
Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Religion
Social Sciences,19,,4,,5,,5,,7,,2,,0,,4,,5,,0,,0, 51 ,Social Sciences
Languages,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Languages
Science & Mathema,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0, 3 ,Science & Mathema
Technology & Medi,71,,13,,23,,58,,50,,6,,1,,24,,24,,0,,0, 270 ,Technology & Medi
The Arts & Sports,32,,4,,12,,18,,11,,2,,1,,11,,7,,0,,0, 98 ,The Arts & Sports
Literature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Literature
Geography & Histo,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0, 1 ,Geography & Histo
Data Processing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Data Processing
Data Processing,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Data Processing
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,913,,188,,234,,644,,471,,116,,44,,362,,300,,0,,0," 3,272 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc,,t cdnddc, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,8,,1,,2,,2,,6,,1,,0,,1,,1,,0,,0, 22 ,Generalities
Philosophy & Psyc,72,,21,,37,,64,,35,,12,,0,,58,,38,,0,,0, 337 ,Philosophy & Psyc
Religion,56,,23,,26,,35,,16,,6,,2,,37,,12,,0,,0, 213 ,Religion
Social Sciences,109,,25,,25,,73,,39,,14,,0,,59,,23,,0,,0, 367 ,Social Sciences
Languages,95,,24,,39,,46,,60,,14,,6,,47,,43,,0,,0, 374 ,Languages
Science & Technol,10,,3,,4,,12,,6,,3,,0,,15,,6,,0,,0, 59 ,Science & Technol
Technology & Medi,103,,38,,31,,54,,52,,14,,0,,60,,30,,0,,0, 382 ,Technology & Medi
The Arts / Sports,60,,16,,14,,34,,31,,13,,0,,27,,21,,0,,0, 216 ,The Arts / Sports
Literature,44,,12,,15,,26,,22,,8,,0,,31,,15,,0,,0, 173 ,Literature
Geography & Histo,112,,22,,27,,64,,46,,18,,0,,54,,24,,0,,0, 367 ,Geography & Histo
-----,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----
Total,669,,185,,220,,410,,313,,103,,8,,389,,213,,0,,0," 2,510 ",Total
,,,,,,,,,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,,,,,,,,,, -   ,
Items: Call# ISta,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De,,t ddc (De, -   ,Items: Call# ISta
,,,,,,,,,,,,,,,,,,,,,, -   ,
Description,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18,,Jan-18," 474,111 ",Description
-----------------,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------,,--------, -   ,-----------------
Generalities,53,,23,,15,,53,,26,,12,,4,,46,,16,,0,,0, 248 ,Generalities
Computers,47,,9,,9,,41,,25,,5,,0,,22,,21,,0,,0, 179 ,Computers
Bibliography,10,,0,,4,,17,,8,,1,,1,,5,,2,,0,,0, 48 ,Bibliography
Library Science,206,,10,,12,,137,,22,,9,,2,,64,,13,,0,,3, 478 ,Library Science
General Encyclope,76,,32,,52,,42,,65,,4,,2,,14,,9,,0,,0, 296 ,General Encyclope
General Serials,1,,0,,0,,3,,1,,2,,0,,1,,0,,0,,0, 8 ,General Serials
General Organizat,3,,3,,2,,6,,2,,2,,0,,2,,3,,0,,0, 23 ,General Organizat
Museology,1,,0,,1,,2,,0,,1,,0,,1,,0,,0,,0, 6 ,Museology
Journalism,55,,16,,18,,50,,41,,15,,6,,37,,19,,0,,0, 257 ,Journalism
General Collectio,30,,1,,4,,13,,9,,1,,1,,8,,6,,0,,0, 73 ,General Collectio
Manuscripts & Rar,1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 3 ,Manuscripts & Rar
Philosophy,48,,20,,18,,50,,27,,8,,1,,33,,17,,0,,0, 222 ,Philosophy
Paranormal,17,,9,,3,,14,,4,,5,,4,,14,,7,,0,,0, 77 ,Paranormal
Parapsychology,58,,32,,40,,56,,43,,10,,7,,45,,25,,0,,0, 316 ,Parapsychology
Demonology & Witc,24,,12,,10,,14,,11,,4,,4,,22,,5,,0,,0, 106 ,Demonology & Witc
Astrology,106,,47,,48,,81,,56,,36,,7,,66,,48,,0,,0, 495 ,Astrology
Dreams & Mysterie,4,,1,,2,,2,,3,,1,,0,,2,,1,,0,,0, 16 ,Dreams & Mysterie
"Graphology, Physi",4,,0,,3,,3,,3,,2,,0,,1,,0,,0,,0, 16 ,"Graphology, Physi"
Schools Of Philos,4,,0,,2,,4,,1,,0,,0,,4,,2,,0,,0, 17 ,Schools Of Philos
Psychology,425,,197,,195,,438,,281,,107,,40,,278,,180,,0,,0," 2,141 ",Psychology
Applied Psycholog,342,,143,,167,,339,,249,,100,,26,,206,,178,,0,,0," 1,750 ",Applied Psycholog
Interpersonal Rel,53,,20,,29,,68,,39,,15,,5,,50,,25,,0,,0, 304 ,Interpersonal Rel
Logic & Ethics,76,,35,,29,,113,,63,,18,,4,,49,,28,,0,,0, 415 ,Logic & Ethics
Oriental Philosop,63,,7,,13,,33,,35,,9,,0,,17,,21,,0,,0, 198 ,Oriental Philosop
Modern Western Ph,21,,7,,8,,37,,18,,5,,0,,25,,5,,0,,0, 126 ,Modern Western Ph
Religion,176,,70,,65,,153,,120,,35,,11,,113,,75,,0,,0, 818 ,Religion
Bible,80,,25,,24,,75,,42,,9,,0,,42,,11,,0,,0, 308 ,Bible
Christianity,415,,214,,146,,447,,249,,91,,19,,258,,123,,0,,0," 1,962 ",Christianity
Christian Sects,11,,7,,10,,17,,10,,1,,0,,5,,3,,0,,0, 64 ,Christian Sects
Comparative Relig,18,,9,,5,,40,,14,,4,,0,,12,,7,,0,,0, 109 ,Comparative Relig
Major Religions,331,,93,,102,,247,,229,,33,,4,,122,,328,,0,,0," 1,489 ",Major Religions
Other Religions,63,,24,,17,,57,,40,,6,,3,,43,,26,,0,,0, 279 ,Other Religions
Social Sciences,171,,55,,71,,229,,139,,39,,10,,131,,57,,0,,0, 902 ,Social Sciences
Social Groups,500,,197,,209,,729,,431,,113,,25,,370,,175,,0,,0," 2,749 ",Social Groups
Statistics,1,,2,,0,,1,,0,,0,,0,,0,,1,,0,,0, 5 ,Statistics
Political Science,141,,44,,41,,231,,111,,27,,7,,140,,73,,0,,0, 815 ,Political Science
International Mig,16,,2,,7,,22,,10,,3,,2,,7,,9,,0,,0, 78 ,International Mig
Slavery,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, 2 ,Slavery
International Rel,43,,23,,22,,85,,38,,11,,3,,48,,23,,0,,0, 296 ,International Rel
Legislative Proce,11,,6,,7,,14,,11,,8,,1,,8,,6,,0,,0, 72 ,Legislative Proce
Economics,83,,22,,35,,157,,85,,23,,2,,100,,58,,0,,0, 565 ,Economics
Financial Economi,272,,127,,223,,522,,259,,114,,16,,278,,216,,0,,0," 2,027 ",Financial Economi
Land Economics,72,,20,,24,,127,,47,,17,,5,,59,,32,,0,,0, 403 ,Land Economics
Cooperatives,1,,1,,0,,2,,2,,0,,0,,0,,1,,0,,0, 7 ,Cooperatives
Socialism,6,,4,,3,,11,,6,,1,,1,,3,,2,,0,,0, 37 ,Socialism
Public Finance,5,,4,,2,,6,,7,,6,,1,,6,,2,,0,,0, 39 ,Public Finance
International Eco,3,,0,,2,,9,,3,,1,,0,,7,,0,,0,,0, 25 ,International Eco
Production,119,,41,,67,,214,,94,,19,,9,,124,,52,,0,,0, 739 ,Production
Law,174,,94,,137,,252,,140,,69,,41,,110,,113,,0,,0," 1,130 ",Law
Public Administra,15,,3,,9,,35,,11,,1,,0,,9,,3,,0,,0, 86 ,Public Administra
Military Science,71,,46,,19,,151,,72,,12,,3,,65,,24,,0,,0, 463 ,Military Science
Social Problems &,88,,40,,42,,159,,83,,27,,7,,68,,38,,2,,0, 554 ,Social Problems &
Drug Abuse,342,,129,,138,,446,,301,,61,,22,,200,,114,,0,,0," 1,753 ",Drug Abuse
Environmental Pro,58,,20,,28,,78,,52,,17,,6,,33,,23,,0,,0, 315 ,Environmental Pro
Criminology,239,,102,,131,,343,,247,,58,,33,,224,,108,,0,,0," 1,485 ",Criminology
Associations & Cl,6,,3,,2,,3,,3,,1,,0,,3,,1,,0,,0, 22 ,Associations & Cl
Insurance,5,,3,,1,,9,,4,,1,,1,,1,,3,,0,,0, 28 ,Insurance
Misc. Association,0,,1,,1,,1,,4,,0,,0,,1,,1,,0,,1, 10 ,Misc. Association
Education,443,,89,,130,,394,,213,,33,,7,,235,,114,,0,,0," 1,658 ",Education
Commerce,26,,7,,15,,65,,39,,16,,0,,42,,12,,0,,0, 222 ,Commerce
Communication,8,,1,,2,,16,,15,,2,,0,,6,,6,,0,,0, 56 ,Communication
Transportation,23,,38,,10,,101,,91,,9,,1,,21,,15,,0,,0, 309 ,Transportation
Metrology,1,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0, 3 ,Metrology
Customs,126,,41,,79,,206,,148,,33,,12,,92,,64,,0,,0, 801 ,Customs
Folklore,58,,27,,19,,96,,81,,5,,1,,37,,29,,0,,0, 353 ,Folklore
Customs Of War,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0, -   ,Customs Of War
Languages,9,,3,,4,,14,,4,,2,,1,,5,,2,,0,,0, 44 ,Languages
Linguistics,44,,10,,18,,52,,29,,11,,5,,31,,14,,0,,0, 214 ,Linguistics
English Language,92,,30,,41,,104,,84,,16,,8,,78,,30,,0,,0, 483 ,English Language
Germanic Language,52,,12,,13,,29,,21,,5,,1,,23,,10,,0,,0, 166 ,Germanic Language
Romance Languages,92,,32,,37,,55,,43,,20,,15,,36,,33,,0,,0, 363 ,Romance Languages
