YEAR,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_INCLUDING_ CITY_CENTRE,CITY_CENTRE,SURREY_TOTAL
2017,74090,62400,62990,137530,92760,104950,35470,534720
2021,78630,66260,65260,146140,102940,115720,44060,574950
2026,86220,69290,70200,156480,112970,130720,55170,625880
2031,97790,71720,78580,164350,124830,150150,67500,687420
2036,107020,74810,88260,169260,136670,170570,77900,746590
2041,113830,77400,98280,171450,145670,194330,88710,800960
2046,118310,78860,102330,171620,150400,213640,98290,835160
